"107年04月 4919 新唐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","1,966,050","137,985,350","71.40","71.60","69.20","69.60","-1.80","1,353",
"107/04/03","1,401,594","96,107,541","69.00","69.30","68.00","69.30","-0.30","990",
"107/04/09","964,521","67,847,198","69.80","71.40","69.20","71.40","+2.10","711",
"107/04/10","1,345,060","95,080,429","71.40","71.60","69.60","69.60","-1.80","936",
"107/04/11","1,901,627","130,799,081","70.30","70.40","67.80","69.00","-0.60","1,365",
"107/04/12","1,614,519","109,987,494","68.70","68.70","67.50","68.00","-1.00","1,334",
"107/04/13","1,382,099","93,391,651","68.40","68.80","67.00","67.00","-1.00","1,075",
"107/04/16","2,070,001","137,093,468","67.50","67.50","65.50","66.40","-0.60","1,555",
"107/04/17","1,190,143","79,466,152","67.20","67.40","66.10","66.40"," 0.00","861",
"107/04/18","2,569,300","167,330,720","66.60","67.70","63.70","63.90","-2.50","1,803",
"107/04/19","2,537,091","162,057,224","63.70","65.00","63.20","63.20","-0.70","1,868",
"107/04/20","3,314,000","204,077,200","63.30","63.50","60.50","60.60","-2.60","2,104",
"107/04/23","4,856,459","283,838,928","60.60","61.30","56.90","57.00","-3.60","3,435",
"107/04/24","3,456,520","191,121,603","57.30","57.50","54.00","54.70","-2.30","2,106",
"107/04/25","4,310,430","248,002,655","55.10","58.40","55.10","58.00","+3.30","2,782",
"107/04/26","3,054,370","175,565,605","58.50","59.50","55.60","55.60","-2.40","2,305",
"107/04/27","2,121,895","117,240,488","56.20","56.70","54.20","55.70","+0.10","1,650",
"107/04/30","1,205,534","67,038,304","55.80","56.50","55.10","55.20","-0.50","945",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

