"110年02月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/02/01","81,059,491","997,823,006","12.30","12.45","12.10","12.30","+0.20","11,627",
"110/02/02","79,601,436","995,595,887","12.50","12.70","12.30","12.40","+0.10","12,119",
"110/02/03","277,050,997","3,575,435,663","12.50","13.30","12.35","13.05","+0.65","40,415",
"110/02/04","243,095,366","3,191,858,443","13.10","13.45","12.80","13.00","-0.05","35,740",
"110/02/05","89,544,688","1,163,713,002","13.20","13.30","12.80","12.85","-0.15","16,578",
"110/02/17","95,914,605","1,232,284,327","13.10","13.10","12.75","12.75","-0.10","15,074",
"110/02/18","80,303,781","1,015,852,370","12.75","12.80","12.50","12.75"," 0.00","12,772",
"110/02/19","152,091,664","1,984,627,962","12.90","13.25","12.85","13.00","+0.25","24,485",
"110/02/22","141,669,282","1,879,421,291","13.15","13.45","13.05","13.25","+0.25","23,094",
"110/02/23","95,473,616","1,272,474,137","13.30","13.50","13.10","13.40","+0.15","16,943",
"110/02/24","229,724,105","3,136,325,166","13.35","14.00","13.30","13.40"," 0.00","39,544",
"110/02/25","242,869,212","3,363,076,295","13.70","14.15","13.60","13.70","+0.30","38,357",
"110/02/26","111,071,926","1,480,488,535","13.50","13.60","13.15","13.20","-0.50","20,203",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

