"10306る 6120 笷笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/06/03","1,364,749","15,627,594","11.55","11.65","11.35","11.40","-0.10","356",
"103/06/04","1,341,634","15,344,008","11.40","11.60","11.35","11.40"," 0.00","386",
"103/06/05","1,026,936","11,694,867","11.45","11.45","11.35","11.40"," 0.00","361",
"103/06/06","4,383,060","51,098,124","11.40","11.85","11.40","11.85","+0.45","1,263",
"103/06/09","2,966,345","35,074,061","11.85","11.95","11.70","11.75","-0.10","794",
"103/06/10","1,274,416","14,896,581","11.60","11.80","11.60","11.60","-0.15","387",
"103/06/11","4,484,746","53,464,718","11.60","12.10","11.60","11.95","+0.35","1,213",
"103/06/12","8,093,585","100,255,866","12.00","12.55","11.95","12.40","+0.45","2,239",
"103/06/13","2,145,825","26,328,159","12.40","12.50","12.15","12.25","-0.15","745",
"103/06/16","1,388,340","16,920,209","12.30","12.35","12.10","12.10","-0.15","404",
"103/06/17","968,732","11,690,134","12.10","12.20","12.00","12.10"," 0.00","386",
"103/06/18","1,687,234","20,338,579","12.25","12.25","11.95","12.00","-0.10","739",
"103/06/19","749,437","9,078,344","12.05","12.20","12.05","12.10","+0.10","369",
"103/06/20","2,087,429","25,478,315","12.15","12.40","12.05","12.05","-0.05","605",
"103/06/23","1,614,697","19,074,631","12.10","12.10","11.60","11.60","-0.45","522",
"103/06/24","1,345,029","15,680,035","11.60","11.75","11.60","11.70","+0.10","372",
"103/06/25","898,298","10,585,867","11.70","11.90","11.70","11.70"," 0.00","285",
"103/06/26","1,942,809","23,338,555","11.70","12.15","11.70","12.00","+0.30","660",
"103/06/27","1,062,455","12,613,484","12.00","12.05","11.80","11.80","-0.20","414",
"103/06/30","3,644,903","44,329,465","11.95","12.30","11.95","12.15","+0.35","941",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

