"104年12月 6282 康舒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/12/01","8,428,380","219,148,158","26.20","26.55","25.60","25.60","-0.10","3,702",
"104/12/02","6,874,510","179,377,632","25.80","26.45","25.60","26.45","+0.85","3,227",
"104/12/03","7,426,176","193,981,876","26.30","26.75","25.55","26.00","-0.45","3,263",
"104/12/04","7,667,106","201,073,920","26.05","26.55","26.00","26.05","+0.05","3,199",
"104/12/07","3,632,814","94,241,018","26.30","26.45","25.60","25.65","-0.40","1,729",
"104/12/08","6,440,840","163,615,082","25.80","26.20","24.90","25.00","-0.65","2,872",
"104/12/09","8,068,827","193,499,749","24.70","24.75","23.50","23.60","-1.40","3,738",
"104/12/10","7,159,367","172,156,124","23.15","24.55","23.15","24.55","+0.95","2,919",
"104/12/11","8,871,008","214,909,992","24.60","24.75","23.35","23.35","-1.20","3,490",
"104/12/14","4,622,157","104,955,382","22.75","23.30","22.35","22.35","-1.00","2,343",
"104/12/15","6,947,335","163,486,137","22.60","24.15","22.60","23.85","+1.50","3,297",
"104/12/16","12,202,296","297,003,710","24.20","24.75","23.80","24.20","+0.35","4,626",
"104/12/17","5,930,666","144,856,827","24.50","24.65","24.20","24.30","+0.10","2,710",
"104/12/18","3,334,083","80,563,392","23.90","24.50","23.80","24.00","-0.30","1,779",
"104/12/21","3,117,505","75,153,494","23.70","24.45","23.70","24.05","+0.05","1,802",
"104/12/22","2,981,500","71,471,775","24.20","24.30","23.85","23.85","-0.20","1,590",
"104/12/23","12,021,300","297,963,023","24.15","25.25","24.15","24.35","+0.50","4,804",
"104/12/24","5,269,307","126,587,717","24.45","24.55","23.65","23.75","-0.60","2,430",
"104/12/25","2,905,444","69,505,308","23.90","24.25","23.70","23.85","+0.10","1,307",
"104/12/28","1,779,011","42,634,175","24.05","24.15","23.80","23.90","+0.05","964",
"104/12/29","2,680,901","63,339,516","23.90","24.00","23.45","23.50","-0.40","1,347",
"104/12/30","3,538,002","82,519,898","23.65","23.80","22.95","23.15","-0.35","2,003",
"104/12/31","4,206,057","98,059,650","23.15","23.65","23.00","23.25","+0.10","1,999",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

