"111年01月 6770 力積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/01/03","16,553,430","1,163,517,383","71.20","71.20","69.80","70.00","-1.20","10,635",
"111/01/04","17,214,838","1,196,558,210","70.10","70.20","69.20","69.20","-0.80","16,761",
"111/01/05","11,031,875","766,857,855","69.40","70.20","69.00","69.30","+0.10","7,441",
"111/01/06","14,632,720","999,081,850","69.00","69.00","68.00","68.50","-0.80","10,733",
"111/01/07","19,045,075","1,280,310,120","68.40","68.90","66.50","67.50","-1.00","12,995",
"111/01/10","12,010,804","799,102,412","66.50","67.30","66.00","67.00","-0.50","8,296",
"111/01/11","9,369,418","629,046,327","67.40","67.80","66.70","67.00"," 0.00","6,435",
"111/01/12","7,253,732","486,024,496","67.30","67.50","66.60","66.90","-0.10","4,451",
"111/01/13","11,279,436","765,805,222","67.10","68.20","67.10","68.20","+1.30","7,008",
"111/01/14","8,246,918","556,402,149","68.40","68.50","67.00","67.30","-0.90","5,568",
"111/01/17","9,174,011","623,849,621","68.20","68.30","67.50","68.10","+0.80","5,389",
"111/01/18","6,387,489","435,570,147","68.40","68.40","68.00","68.00","-0.10","4,281",
"111/01/19","6,262,858","421,554,435","67.00","67.80","66.80","67.80","-0.20","3,981",
"111/01/20","4,590,963","311,002,451","67.70","68.00","67.30","67.90","+0.10","3,146",
"111/01/21","8,819,495","590,650,255","67.70","67.70","66.50","67.20","-0.70","6,183",
"111/01/24","9,926,392","654,063,801","66.70","66.80","65.00","66.20","-1.00","6,942",
"111/01/25","9,939,641","653,747,640","66.00","66.30","65.50","65.60","-0.60","5,445",
"111/01/26","24,060,235","1,554,549,670","64.40","65.30","63.80","65.20","-0.40","13,280",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

