"103年08月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/08/01","1,038,791","89,038,821","85.00","86.50","84.50","86.50"," 0.00","742",
"103/08/04","2,635,227","224,930,852","86.50","88.30","86.50","86.50"," 0.00","1,051",
"103/08/05","2,502,290","205,212,958","80.00","83.50","80.00","82.00","X0.00","1,438",
"103/08/06","795,918","65,129,998","82.00","83.50","80.50","81.70","-0.30","633",
"103/08/07","489,847","40,265,005","82.00","82.70","80.90","82.60","+0.90","394",
"103/08/08","740,854","61,641,736","83.00","84.00","82.00","84.00","+1.40","485",
"103/08/11","1,299,801","111,032,086","84.20","86.40","83.50","86.00","+2.00","851",
"103/08/12","765,050","64,685,576","86.00","86.00","83.50","84.00","-2.00","520",
"103/08/13","1,000,741","83,305,904","84.20","84.70","82.20","82.50","-1.50","626",
"103/08/14","649,165","53,723,030","84.00","84.00","82.00","82.00","-0.50","482",
"103/08/15","446,279","37,043,371","82.40","83.90","82.00","83.00","+1.00","257",
"103/08/18","425,241","35,657,750","83.00","84.80","82.30","83.50","+0.50","362",
"103/08/19","545,849","45,867,874","84.80","84.80","83.00","83.90","+0.40","423",
"103/08/20","336,200","28,050,159","84.50","84.50","82.90","83.10","-0.80","222",
"103/08/21","260,700","21,787,329","83.00","84.00","83.00","83.90","+0.80","224",
"103/08/22","683,161","56,936,424","84.00","84.20","82.20","83.40","-0.50","468",
"103/08/25","487,080","40,652,896","83.50","84.40","82.60","83.70","+0.30","258",
"103/08/26","323,445","26,854,877","84.40","84.40","82.60","83.10","-0.60","202",
"103/08/27","544,274","45,343,842","82.60","84.00","82.60","83.30","+0.20","348",
"103/08/28","423,539","35,474,006","83.70","84.50","82.80","83.80","+0.50","238",
"103/08/29","426,629","36,141,423","83.20","85.80","83.20","85.60","+1.80","335",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

