"109年06月 9938 百和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/06/01","1,318,653","90,719,176","68.70","69.50","68.20","69.00","+0.50","914",
"109/06/02","978,015","66,929,329","69.00","69.40","68.00","68.10","-0.90","753",
"109/06/03","1,389,027","95,666,563","68.50","69.50","68.40","69.00","+0.90","957",
"109/06/04","1,008,328","69,517,362","69.40","69.60","68.70","68.90","-0.10","696",
"109/06/05","2,260,006","158,234,413","68.90","70.70","68.80","69.70","+0.80","1,588",
"109/06/08","2,108,884","145,037,235","69.20","69.70","68.00","69.20","-0.50","1,425",
"109/06/09","4,509,200","320,437,793","69.70","72.30","69.10","71.50","+2.30","3,006",
"109/06/10","4,414,021","308,564,365","71.60","71.60","69.20","69.30","-2.20","3,109",
"109/06/11","4,082,352","275,158,573","69.10","69.10","66.10","66.40","-2.90","2,839",
"109/06/12","4,056,268","257,847,147","61.40","65.00","61.10","65.00","-1.40","2,880",
"109/06/15","2,840,911","181,107,665","65.00","65.00","63.20","63.80","-1.20","2,100",
"109/06/16","1,499,811","96,979,653","64.70","65.40","63.90","65.20","+1.40","1,066",
"109/06/17","2,160,076","143,330,992","65.50","67.30","65.00","67.00","+1.80","1,488",
"109/06/18","2,480,511","167,692,489","67.50","68.40","66.90","68.00","+1.00","1,645",
"109/06/19","1,538,491","103,730,641","68.40","68.50","66.90","66.90","-1.10","905",
"109/06/22","1,097,216","72,980,539","66.60","67.20","66.00","66.30","-0.60","642",
"109/06/23","743,400","49,192,459","66.30","66.70","65.50","66.30"," 0.00","502",
"109/06/24","565,521","37,439,796","66.50","66.80","66.00","66.00","-0.30","394",
"109/06/29","1,479,502","95,507,327","64.60","65.50","64.00","64.10","-1.90","1,004",
"109/06/30","823,712","53,136,933","64.60","65.20","64.10","64.50","+0.40","604",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

