"108年09月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/09/02","4,399,836","413,736,894","93.60","94.80","93.20","94.00","-0.10","2,370",
"108/09/03","4,410,407","414,227,423","94.00","94.50","93.50","93.70","-0.30","1,972",
"108/09/04","8,079,849","765,011,555","94.00","95.30","93.60","94.70","+1.00","3,841",
"108/09/05","7,529,473","722,186,421","95.10","96.60","95.10","96.00","+1.30","3,802",
"108/09/06","5,001,307","477,772,874","96.00","96.10","95.10","95.20","-0.80","2,209",
"108/09/09","2,560,012","243,533,913","95.20","95.80","94.60","95.20"," 0.00","1,873",
"108/09/10","3,948,192","375,970,820","95.80","95.80","94.70","95.50","+0.30","2,577",
"108/09/11","5,455,798","520,031,995","95.00","95.70","94.80","95.40","-0.10","1,898",
"108/09/12","4,671,403","449,831,831","96.40","96.50","95.90","96.10","+0.70","2,002",
"108/09/16","16,810,361","1,663,379,668","98.00","100.50","97.50","98.00","+1.90","8,791",
"108/09/17","6,261,623","612,676,903","98.90","98.90","97.40","97.80","-0.20","3,953",
"108/09/18","6,737,479","658,905,387","97.40","98.20","96.80","97.60","-0.20","3,811",
"108/09/19","2,982,790","289,866,938","97.60","97.90","96.60","97.30","-0.30","1,792",
"108/09/20","8,263,253","805,832,569","97.50","97.60","97.30","97.60","+0.30","2,238",
"108/09/23","5,065,377","492,187,136","97.80","98.00","96.50","96.80","-0.80","2,504",
"108/09/24","5,802,833","558,497,112","96.60","96.80","95.90","96.70","-0.10","2,606",
"108/09/25","6,687,903","637,912,271","96.10","96.50","95.00","95.50","-1.20","3,704",
"108/09/26","4,905,863","470,939,199","96.00","96.20","95.60","96.20","+0.70","2,626",
"108/09/27","4,995,618","475,592,449","95.30","96.20","94.50","94.50","-1.70","2,938",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

