"112年09月 1303 南亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/09/01","1,782,655","119,529,360","66.40","67.40","66.30","67.30","+1.20","1,600",
"112/09/04","2,693,495","182,943,157","67.20","68.30","67.10","68.00","+0.70","2,703",
"112/09/05","3,023,146","205,190,559","67.60","68.10","67.60","67.90","-0.10","2,953",
"112/09/06","3,621,158","244,277,568","67.80","68.40","67.10","67.10","-0.80","2,723",
"112/09/07","3,835,564","257,509,956","66.90","67.50","66.60","67.40","+0.30","2,197",
"112/09/08","2,473,068","167,109,319","67.30","67.90","67.10","67.70","+0.30","1,744",
"112/09/11","2,767,875","187,976,376","68.00","68.20","67.70","67.90","+0.20","1,546",
"112/09/12","4,885,948","334,308,914","67.90","68.90","67.60","68.60","+0.70","2,393",
"112/09/13","2,121,858","145,231,702","68.60","68.90","68.20","68.30","-0.30","1,756",
"112/09/14","4,518,940","311,943,950","69.00","69.20","68.60","69.20","+0.90","2,525",
"112/09/15","10,995,810","760,273,398","69.20","69.40","68.70","69.20"," 0.00","2,469",
"112/09/18","1,585,856","109,131,202","69.00","69.00","68.60","68.80","-0.40","1,315",
"112/09/19","1,886,132","129,464,691","68.70","69.00","68.10","68.60","-0.20","1,346",
"112/09/20","2,007,586","137,415,144","68.40","68.70","68.10","68.40","-0.20","1,383",
"112/09/21","6,686,914","450,134,125","68.00","68.20","66.90","67.00","-1.40","4,368",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

