"10008る 1522 出蝴﹁           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/08/01","220,250","3,145,584","14.10","14.40","14.10","14.20","+0.10","138",
"100/08/02","182,674","2,588,052","14.20","14.35","14.10","14.15","-0.05","81",
"100/08/03","411,599","5,739,643","14.10","14.10","13.80","13.85","-0.30","174",
"100/08/04","466,588","6,474,172","13.95","14.10","13.75","13.80","-0.05","157",
"100/08/05","941,019","12,178,792","13.00","13.30","12.85","12.85","-0.95","273",
"100/08/08","838,416","10,104,542","12.15","12.65","12.00","12.00","-0.85","293",
"100/08/09","1,333,158","15,036,613","11.20","11.60","11.20","11.60","-0.40","344",
"100/08/10","763,011","9,191,881","11.95","12.35","11.80","12.20","+0.60","315",
"100/08/11","639,166","7,509,555","11.60","12.10","11.45","12.10","-0.10","253",
"100/08/12","409,700","5,039,478","12.20","12.45","12.20","12.30","+0.20","179",
"100/08/15","271,663","3,403,152","12.50","12.70","12.40","12.45","+0.15","104",
"100/08/16","196,383","2,465,612","12.50","12.65","12.50","12.50","+0.05","121",
"100/08/17","454,052","6,061,591","13.35","13.35","13.35","13.35","+0.85","162",
"100/08/18","1,727,152","23,583,184","13.95","13.95","13.25","13.35"," 0.00","657",
"100/08/19","515,130","6,615,462","12.85","13.00","12.70","12.70","-0.65","209",
"100/08/22","265,764","3,360,908","12.95","12.95","12.45","12.45","-0.25","127",
"100/08/23","391,198","5,067,024","12.70","13.20","12.70","13.05","+0.60","177",
"100/08/24","186,815","2,440,124","13.05","13.20","12.90","13.00","-0.05","110",
"100/08/25","278,494","3,642,772","13.20","13.30","12.75","12.75","-0.25","116",
"100/08/26","344,058","4,342,580","12.55","12.90","12.55","12.55","-0.20","137",
"100/08/29","155,499","1,994,836","12.60","12.90","12.60","12.80","+0.25","90",
"100/08/30","207,012","2,692,656","13.20","13.20","12.95","13.00","+0.20","102",
"100/08/31","258,350","3,350,510","13.00","13.20","12.80","12.95","-0.05","88",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

