"108年12月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/12/02","527,552","15,277,108","29.10","29.25","28.75","29.15","+0.05","304",
"108/12/03","2,267,600","67,139,008","29.15","29.85","28.80","29.70","+0.55","908",
"108/12/04","721,895","21,369,967","29.65","29.70","29.50","29.55","-0.15","298",
"108/12/05","561,600","16,650,499","29.60","29.80","29.50","29.65","+0.10","293",
"108/12/06","418,623","12,379,937","29.75","29.75","29.45","29.60","-0.05","217",
"108/12/09","446,149","13,124,921","29.75","29.75","29.30","29.35","-0.25","271",
"108/12/10","645,327","18,857,613","29.55","29.60","29.15","29.15","-0.20","352",
"108/12/11","955,619","27,683,117","29.10","29.10","28.85","28.85","-0.30","556",
"108/12/12","600,327","17,362,183","28.85","29.05","28.80","29.00","+0.15","464",
"108/12/13","409,224","11,852,296","29.15","29.20","28.85","29.00"," 0.00","258",
"108/12/16","293,241","8,497,114","28.90","29.10","28.85","28.95","-0.05","223",
"108/12/17","654,247","18,905,986","29.00","29.10","28.80","28.85","-0.10","428",
"108/12/18","414,933","12,042,356","28.85","29.15","28.85","28.90","+0.05","274",
"108/12/19","265,107","7,686,139","28.90","29.10","28.90","29.10","+0.20","174",
"108/12/20","227,278","6,587,868","29.10","29.10","28.95","28.95","-0.15","138",
"108/12/23","403,509","11,628,706","29.05","29.05","28.70","28.70","-0.25","218",
"108/12/24","1,249,489","36,031,231","28.70","29.10","28.60","29.05","+0.35","579",
"108/12/25","2,072,772","60,914,010","29.25","29.65","29.10","29.65","+0.60","847",
"108/12/26","637,797","18,788,538","29.75","29.75","29.30","29.35","-0.30","301",
"108/12/27","598,712","17,541,290","29.40","29.50","29.20","29.35"," 0.00","270",
"108/12/30","424,118","12,376,539","29.30","29.35","29.10","29.15","-0.20","247",
"108/12/31","469,288","13,633,816","29.10","29.10","29.00","29.05","-0.10","257",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

