"9904る 1582 獺繟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/04/01","1,315,015","103,473,079","78.50","79.20","78.30","78.50"," 0.00","665",
" 99/04/02","2,259,523","179,491,217","78.70","80.30","78.60","79.00","+0.50","1,055",
" 99/04/06","1,327,454","104,851,083","79.70","79.70","78.20","78.20","-0.80","739",
" 99/04/07","1,664,699","130,968,479","78.50","79.70","78.20","78.60","+0.40","842",
" 99/04/08","1,867,559","145,511,543","79.00","79.10","76.50","77.00","-1.60","987",
" 99/04/09","1,538,312","118,360,285","77.30","77.80","76.40","77.00"," 0.00","827",
" 99/04/12","2,370,099","186,764,067","77.80","79.50","77.80","78.80","+1.80","1,335",
" 99/04/13","1,351,049","106,206,561","79.10","79.50","77.70","78.00","-0.80","843",
" 99/04/14","871,620","68,375,444","78.70","78.90","78.10","78.10","+0.10","511",
" 99/04/15","1,474,763","116,420,327","79.00","79.30","78.40","79.20","+1.10","843",
" 99/04/16","971,135","76,480,765","79.50","79.50","78.50","78.50","-0.70","511",
" 99/04/19","2,182,302","168,748,256","78.10","79.30","74.60","74.90","-3.60","1,086",
" 99/04/20","982,110","74,006,048","75.80","75.90","74.70","75.50","+0.60","534",
" 99/04/21","536,515","41,166,846","76.00","77.10","76.00","77.00","+1.50","355",
" 99/04/22","589,318","45,173,217","76.90","77.40","76.20","77.00"," 0.00","343",
" 99/04/23","964,346","75,020,214","77.00","78.50","77.00","77.20","+0.20","544",
" 99/04/26","901,206","69,897,601","78.30","78.30","77.20","77.20"," 0.00","493",
" 99/04/27","558,291","43,194,880","77.20","77.80","77.20","77.20"," 0.00","357",
" 99/04/28","795,407","60,591,233","75.60","77.30","75.10","76.20","-1.00","522",
" 99/04/29","579,000","44,457,800","77.00","77.20","76.30","76.60","+0.40","364",
" 99/04/30","2,457,273","183,832,218","76.50","76.50","74.00","74.00","-2.60","1,380",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

