"107年11月 1582 信錦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/05","406,235","25,820,431","64.30","64.30","61.80","64.30","X0.00","351",
"107/11/06","212,511","13,795,334","64.30","65.80","64.30","64.90","+0.60","202",
"107/11/07","199,164","12,955,793","65.10","65.40","64.60","65.40","+0.50","189",
"107/11/08","243,930","16,017,074","65.90","65.90","65.40","65.90","+0.50","246",
"107/11/09","204,718","13,419,919","66.10","66.10","65.20","65.80","-0.10","209",
"107/11/12","348,325","22,637,525","64.80","65.40","64.70","65.00","-0.80","210",
"107/11/13","272,916","17,579,732","64.20","65.90","63.70","65.90","+0.90","279",
"107/11/14","178,403","11,718,941","66.10","66.10","65.20","65.90"," 0.00","163",
"107/11/15","287,302","19,139,134","65.90","67.40","65.60","67.20","+1.30","271",
"107/11/16","199,803","13,388,501","67.50","67.70","66.50","67.20"," 0.00","178",
"107/11/19","176,257","11,843,842","67.20","67.90","66.70","67.80","+0.60","160",
"107/11/20","207,576","14,014,692","67.80","67.90","67.10","67.20","-0.60","177",
"107/11/21","199,292","13,373,364","67.50","67.50","66.60","67.30","+0.10","163",
"107/11/22","116,383","7,820,361","67.50","67.50","66.80","67.30"," 0.00","89",
"107/11/23","135,848","9,141,916","68.00","68.00","66.80","67.40","+0.10","106",
"107/11/26","156,352","10,517,943","67.50","67.50","66.90","67.50","+0.10","158",
"107/11/27","146,145","9,849,170","67.40","67.60","67.00","67.60","+0.10","141",
"107/11/28","180,664","12,201,710","67.60","67.80","67.30","67.80","+0.20","171",
"107/11/29","242,783","16,510,281","68.60","68.60","67.60","68.10","+0.30","222",
"107/11/30","190,976","13,044,857","68.50","68.50","68.00","68.40","+0.30","136",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

