"110年10月 1590 亞德客-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,405,536","1,951,628,162","862.00","862.00","789.00","790.00","-85.00","2,609",
"110/10/04","1,163,554","919,195,432","800.00","812.00","772.00","783.00","-7.00","1,440",
"110/10/05","1,367,960","1,040,259,814","758.00","777.00","749.00","772.00","-11.00","1,557",
"110/10/06","1,046,884","805,509,190","773.00","787.00","760.00","760.00","-12.00","1,047",
"110/10/07","1,183,053","946,234,734","790.00","814.00","783.00","804.00","+44.00","1,451",
"110/10/08","882,832","717,668,090","812.00","829.00","794.00","816.00","+12.00","1,263",
"110/10/12","1,086,427","847,869,311","790.00","814.00","765.00","777.00","-39.00","1,322",
"110/10/13","1,776,429","1,433,457,465","782.00","825.00","782.00","797.00","+20.00","1,688",
"110/10/14","692,455","566,451,447","817.00","833.00","810.00","814.00","+17.00","810",
"110/10/15","624,703","524,521,956","835.00","847.00","825.00","845.00","+31.00","1,730",
"110/10/18","656,074","557,517,114","846.00","866.00","837.00","844.00","-1.00","1,027",
"110/10/19","612,327","525,409,855","838.00","867.00","838.00","865.00","+21.00","668",
"110/10/20","1,344,582","1,142,399,722","839.00","868.00","832.00","849.00","-16.00","1,524",
"110/10/21","727,559","620,558,253","860.00","864.00","842.00","845.00","-4.00","1,538",
"110/10/22","1,149,109","952,308,895","831.00","850.00","819.00","826.00","-19.00","1,324",
"110/10/25","1,133,746","931,556,361","823.00","843.00","814.00","815.00","-11.00","1,064",
"110/10/26","963,954","801,550,709","824.00","843.00","816.00","836.00","+21.00","930",
"110/10/27","877,613","756,961,986","832.00","873.00","832.00","869.00","+33.00","1,036",
"110/10/28","1,093,594","926,173,819","864.00","869.00","836.00","840.00","-29.00","1,971",
"110/10/29","840,352","701,581,670","840.00","850.00","824.00","830.00","-10.00","595",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

