"10402る 1609 ㄈ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/02/02","307,167","1,983,393","6.47","6.50","6.45","6.50","+0.03","83",
"104/02/03","398,177","2,575,692","6.48","6.50","6.45","6.49","-0.01","127",
"104/02/04","319,553","2,072,817","6.49","6.53","6.46","6.46","-0.03","86",
"104/02/05","256,987","1,656,897","6.46","6.49","6.44","6.45","-0.01","76",
"104/02/06","417,305","2,686,218","6.45","6.48","6.42","6.43","-0.02","125",
"104/02/09","224,844","1,447,411","6.43","6.47","6.43","6.43"," 0.00","93",
"104/02/10","384,819","2,474,364","6.41","6.47","6.41","6.42","-0.01","137",
"104/02/11","735,045","4,722,185","6.43","6.46","6.40","6.40","-0.02","176",
"104/02/12","252,539","1,622,630","6.45","6.45","6.40","6.41","+0.01","85",
"104/02/13","755,994","4,872,857","6.41","6.48","6.41","6.43","+0.02","169",
"104/02/24","449,411","2,908,760","6.47","6.49","6.46","6.46","+0.03","155",
"104/02/25","918,419","5,963,035","6.46","6.53","6.46","6.50","+0.04","181",
"104/02/26","566,209","3,687,897","6.50","6.54","6.50","6.53","+0.03","158",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

