"112年02月 1609 大亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/02/01","47,864,199","1,149,733,860","23.45","24.80","23.40","24.10","+1.10","21,766",
"112/02/02","22,543,567","543,582,070","24.40","24.60","23.65","23.95","-0.15","10,213",
"112/02/03","8,680,223","204,762,344","24.00","24.05","23.35","23.50","-0.45","5,228",
"112/02/06","4,978,896","115,917,715","23.35","23.60","23.10","23.15","-0.35","2,869",
"112/02/07","4,892,255","114,192,358","23.05","23.65","23.05","23.50","+0.35","2,762",
"112/02/08","4,785,770","112,049,527","23.65","23.65","23.25","23.25","-0.25","2,417",
"112/02/09","13,756,411","326,954,609","23.25","24.15","23.20","23.60","+0.35","6,330",
"112/02/10","4,831,047","113,349,219","23.65","23.85","23.25","23.30","-0.30","2,729",
"112/02/13","6,185,208","144,456,174","23.45","23.85","23.05","23.30"," 0.00","2,832",
"112/02/14","3,513,229","81,700,199","23.45","23.45","23.15","23.15","-0.15","1,778",
"112/02/15","36,158,278","875,832,827","23.25","24.70","23.25","24.40","+1.25","15,633",
"112/02/16","28,343,597","702,032,772","25.10","25.60","24.35","24.50","+0.10","13,847",
"112/02/17","10,041,771","244,261,643","24.30","24.60","24.05","24.35","-0.15","5,137",
"112/02/20","18,140,199","452,499,219","24.60","25.25","24.50","25.05","+0.70","8,257",
"112/02/21","18,962,988","479,237,782","25.05","25.75","25.00","25.20","+0.15","8,445",
"112/02/22","13,512,794","338,303,921","24.90","25.50","24.65","24.90","-0.30","6,966",
"112/02/23","9,259,796","229,338,472","24.90","25.15","24.55","24.60","-0.30","4,582",
"112/02/24","6,562,609","159,952,949","24.65","24.80","24.20","24.25","-0.35","2,998",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

