"10211る 1612 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/11/01","1,266,000","12,652,840","10.20","10.20","9.81","9.85","-0.15","450",
"102/11/04","2,702,393","27,546,004","9.86","10.45","9.82","10.35","+0.50","790",
"102/11/05","1,271,206","12,870,481","10.30","10.30","10.00","10.00","-0.35","419",
"102/11/06","704,154","7,080,405","10.00","10.30","9.98","9.99","-0.01","309",
"102/11/07","461,507","4,604,556","9.99","10.10","9.91","9.91","-0.08","191",
"102/11/08","716,000","7,064,440","9.89","9.99","9.81","9.82","-0.09","244",
"102/11/11","704,001","6,858,869","9.88","9.88","9.65","9.67","-0.15","234",
"102/11/12","586,612","5,676,101","9.75","9.75","9.63","9.63","-0.04","187",
"102/11/13","357,915","3,455,046","9.61","9.78","9.61","9.62","-0.01","141",
"102/11/14","425,010","4,092,924","9.61","9.67","9.61","9.67","+0.05","138",
"102/11/15","364,734","3,524,544","9.67","9.75","9.64","9.64","-0.03","158",
"102/11/18","344,585","3,336,411","9.69","9.75","9.65","9.67","+0.03","93",
"102/11/19","315,382","3,045,102","9.72","9.72","9.63","9.65","-0.02","137",
"102/11/20","336,000","3,257,690","9.65","9.73","9.65","9.69","+0.04","120",
"102/11/21","345,004","3,323,697","9.66","9.69","9.60","9.60","-0.09","125",
"102/11/22","197,031","1,894,229","9.60","9.65","9.59","9.62","+0.02","90",
"102/11/25","251,001","2,421,109","9.65","9.67","9.63","9.64","+0.02","100",
"102/11/26","344,522","3,321,652","9.62","9.66","9.62","9.66","+0.02","121",
"102/11/27","977,863","9,524,554","9.64","9.81","9.64","9.79","+0.13","358",
"102/11/28","715,002","7,028,318","9.82","9.88","9.79","9.79"," 0.00","266",
"102/11/29","659,106","6,458,879","9.80","9.86","9.72","9.75","-0.04","212",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

