"106年04月 1612 宏泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","365,514","3,583,065","9.83","9.87","9.76","9.78","-0.05","319",
"106/04/06","1,465,869","14,810,007","9.78","10.35","9.74","10.05","+0.27","655",
"106/04/07","524,413","5,223,213","10.05","10.05","9.92","9.95","-0.10","268",
"106/04/10","494,227","4,881,405","9.97","9.97","9.82","9.85","-0.10","345",
"106/04/11","627,690","6,230,020","10.00","10.00","9.85","9.95","+0.10","291",
"106/04/12","291,249","2,888,756","10.00","10.00","9.87","9.97","+0.02","318",
"106/04/13","234,122","2,308,252","9.93","9.93","9.82","9.84","-0.13","151",
"106/04/14","791,151","7,622,443","9.82","9.82","9.50","9.51","-0.33","268",
"106/04/17","312,019","2,940,011","9.66","9.66","9.38","9.42","-0.09","149",
"106/04/18","252,005","2,381,075","9.42","9.49","9.41","9.43","+0.01","90",
"106/04/19","313,387","2,930,560","9.40","9.45","9.28","9.30","-0.13","142",
"106/04/20","246,048","2,286,145","9.27","9.32","9.27","9.28","-0.02","100",
"106/04/21","373,038","3,532,187","9.33","9.60","9.33","9.58","+0.30","110",
"106/04/24","221,633","2,087,138","9.60","9.60","9.35","9.48","-0.10","75",
"106/04/25","112,806","1,067,124","9.52","9.52","9.40","9.47","-0.01","64",
"106/04/26","129,075","1,223,507","9.47","9.52","9.43","9.46","-0.01","76",
"106/04/27","82,006","774,946","9.51","9.56","9.41","9.46"," 0.00","42",
"106/04/28","127,006","1,198,964","9.52","9.55","9.40","9.40","-0.06","50",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

