"100年03月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/03/01","297,943","9,920,754","33.50","33.50","33.15","33.20","+0.05","142",
"100/03/02","303,002","10,036,366","33.00","33.40","32.90","32.90","-0.30","169",
"100/03/03","436,396","14,479,448","32.95","33.45","32.95","33.10","+0.20","252",
"100/03/04","396,286","13,121,653","33.50","33.50","32.85","32.90","-0.20","205",
"100/03/07","257,573","8,544,359","32.90","33.30","32.85","33.20","+0.30","166",
"100/03/08","779,882","26,212,282","33.20","34.00","33.20","33.80","+0.60","470",
"100/03/09","465,779","15,738,819","34.00","34.10","33.50","33.50","-0.30","254",
"100/03/10","282,329","9,448,235","33.55","33.80","33.30","33.40","-0.10","147",
"100/03/11","480,337","15,810,552","32.90","33.40","32.70","33.40"," 0.00","264",
"100/03/14","481,415","15,854,511","33.40","33.60","32.60","32.80","-0.60","244",
"100/03/15","1,145,702","35,885,011","32.50","32.70","30.55","31.50","-1.30","568",
"100/03/16","549,553","17,135,012","31.50","31.70","30.80","31.35","-0.15","313",
"100/03/17","417,870","12,804,443","30.80","30.90","30.30","30.80","-0.55","247",
"100/03/18","1,125,341","36,542,076","31.00","32.95","31.00","32.50","+1.70","642",
"100/03/21","346,700","11,146,652","32.50","32.50","31.50","32.15","-0.35","212",
"100/03/22","247,664","7,988,724","32.60","32.60","32.15","32.20","+0.05","145",
"100/03/23","426,256","13,778,555","32.20","32.50","32.05","32.45","+0.25","232",
"100/03/24","337,529","10,998,485","32.50","32.75","32.45","32.60","+0.15","176",
"100/03/25","273,072","8,825,816","32.60","32.80","32.15","32.25","-0.35","179",
"100/03/28","184,044","5,908,258","32.40","32.40","31.95","32.20","-0.05","110",
"100/03/29","203,346","6,500,637","32.20","32.20","31.70","32.20"," 0.00","132",
"100/03/30","201,526","6,429,871","32.20","32.20","31.80","31.95","-0.25","133",
"100/03/31","266,293","8,520,793","32.00","32.10","31.90","32.10","+0.15","149",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

