"111年10月 1795 美時             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/10/03","14,173,636","2,268,494,080","161.00","165.50","157.00","157.50","-5.00","9,412",
"111/10/04","25,817,286","4,301,418,389","161.50","171.00","160.50","167.00","+9.50","16,684",
"111/10/05","22,233,772","3,772,046,782","168.50","173.50","166.00","170.50","+3.50","14,904",
"111/10/06","17,140,976","2,914,749,677","171.50","173.00","166.50","172.00","+1.50","12,973",
"111/10/07","20,900,418","3,558,768,627","171.00","175.00","166.50","168.00","-4.00","17,626",
"111/10/11","27,705,364","4,562,866,631","168.00","169.50","158.50","159.50","-8.50","18,420",
"111/10/12","22,300,925","3,643,776,628","163.00","166.00","161.00","161.50","+2.00","14,723",
"111/10/13","27,224,372","4,186,380,224","161.50","162.50","145.50","148.50","-13.00","17,839",
"111/10/14","24,470,715","3,778,060,554","155.00","158.50","150.00","153.00","+4.50","16,345",
"111/10/17","17,898,949","2,589,794,168","150.00","150.50","139.50","148.50","-4.50","12,318",
"111/10/18","16,865,337","2,565,236,361","151.00","155.50","148.50","153.00","+4.50","11,377",
"111/10/19","10,720,313","1,643,419,673","152.00","155.50","151.50","153.00"," 0.00","6,896",
"111/10/20","14,710,986","2,206,526,924","150.00","155.00","145.00","155.00","+2.00","9,991",
"111/10/21","11,661,186","1,745,826,199","153.00","153.50","146.50","146.50","-8.50","8,262",
"111/10/24","6,832,739","1,025,574,571","150.00","152.50","147.00","147.50","+1.00","4,633",
"111/10/25","10,995,148","1,581,695,821","149.50","149.50","141.00","143.00","-4.50","7,609",
"111/10/26","10,614,129","1,511,186,892","143.00","146.00","138.50","143.00"," 0.00","7,235",
"111/10/27","12,223,515","1,792,091,185","143.00","150.00","141.00","149.50","+6.50","8,196",
"111/10/28","9,172,270","1,381,638,490","148.50","152.50","148.00","151.00","+1.50","6,157",
"111/10/31","9,330,880","1,442,171,354","152.00","156.50","151.00","154.50","+3.50","6,210",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

