"9905る 1802              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/05/03","4,311,418","124,665,091","29.50","29.50","28.60","28.70","-0.70","1,399",
" 99/05/04","3,781,954","107,895,030","28.95","29.00","28.25","28.45","-0.25","1,366",
" 99/05/05","12,491,079","338,777,518","27.95","27.95","26.95","27.00","-1.45","3,262",
" 99/05/06","5,316,642","144,281,334","27.00","27.50","26.75","26.95","-0.05","2,549",
" 99/05/07","14,636,610","410,167,211","26.90","28.80","26.90","28.80","+1.85","4,192",
" 99/05/10","7,979,663","230,527,456","28.90","29.30","28.50","28.80"," 0.00","2,442",
" 99/05/11","14,333,304","429,632,201","29.30","30.70","29.05","29.80","+1.00","4,659",
" 99/05/12","5,849,174","174,857,375","30.10","30.60","29.50","29.50","-0.30","2,162",
" 99/05/13","5,350,951","161,780,405","30.00","30.55","29.90","30.25","+0.75","2,171",
" 99/05/14","3,842,621","116,425,387","30.00","30.45","30.00","30.35","+0.10","1,068",
" 99/05/17","6,054,572","181,227,895","30.20","30.20","29.60","29.90","-0.45","1,922",
" 99/05/18","6,217,362","187,866,432","30.00","30.80","29.80","29.80","-0.10","2,327",
" 99/05/19","6,000,450","180,887,414","29.60","30.50","29.25","30.05","+0.25","1,630",
" 99/05/20","4,911,031","146,671,305","30.05","30.35","29.50","29.50","-0.55","2,036",
" 99/05/21","4,755,867","134,358,035","28.10","28.65","27.80","28.30","-1.20","1,725",
" 99/05/24","6,101,114","176,240,221","28.50","29.95","28.20","29.60","+1.30","1,890",
" 99/05/25","5,580,900","157,759,088","28.90","29.20","27.60","27.60","-2.00","1,984",
" 99/05/26","5,505,045","152,725,742","27.80","28.25","27.50","27.50","-0.10","1,489",
" 99/05/27","5,448,187","153,951,133","27.80","28.75","27.80","28.55","+1.05","1,670",
" 99/05/28","3,270,021","93,975,043","28.90","28.90","28.50","28.80","+0.25","1,215",
" 99/05/31","2,547,424","74,639,755","29.30","29.50","28.90","29.50","+0.70","929",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

