"112年06月 2002 中鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","15,969,844","465,919,639","29.15","29.25","29.05","29.10","+0.10","6,262",
"112/06/02","16,519,407","485,250,707","29.25","29.45","29.15","29.40","+0.30","6,512",
"112/06/05","15,653,431","464,502,274","29.40","29.80","29.40","29.60","+0.20","6,737",
"112/06/06","16,249,951","485,213,629","29.65","29.95","29.65","29.90","+0.30","7,256",
"112/06/07","14,233,980","425,515,195","29.95","29.95","29.85","29.90"," 0.00","7,177",
"112/06/08","10,098,299","300,663,826","29.85","29.90","29.70","29.75","-0.15","5,639",
"112/06/09","12,176,037","362,891,570","29.85","29.90","29.70","29.75"," 0.00","5,674",
"112/06/12","9,339,338","277,222,786","29.75","29.80","29.60","29.65","-0.10","5,062",
"112/06/13","13,570,073","402,285,893","29.65","29.80","29.50","29.60","-0.05","6,285",
"112/06/14","13,487,162","401,084,584","29.60","29.90","29.60","29.65","+0.05","5,573",
"112/06/15","12,015,326","356,220,977","29.70","29.80","29.55","29.65"," 0.00","5,626",
"112/06/16","22,840,427","679,199,768","29.65","29.85","29.60","29.75","+0.10","5,805",
"112/06/19","12,248,513","364,962,583","29.75","29.90","29.65","29.85","+0.10","5,176",
"112/06/20","13,780,636","410,424,237","29.85","29.85","29.70","29.75","-0.10","5,401",
"112/06/21","15,121,559","448,748,400","29.75","29.80","29.60","29.65","-0.10","7,266",
"112/06/26","22,140,886","656,784,862","29.65","29.80","29.45","29.60","-0.05","6,281",
"112/06/27","12,845,117","381,990,632","29.55","29.85","29.50","29.75","+0.15","5,811",
"112/06/28","12,459,397","370,150,484","29.70","29.85","29.60","29.70","-0.05","5,178",
"112/06/29","17,464,255","517,887,270","29.75","29.80","29.50","29.65","-0.05","6,876",
"112/06/30","26,412,202","778,870,952","29.50","29.65","29.40","29.40","-0.25","9,611",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

