"111年03月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/03/01","320,255","202,958,656","634.00","639.00","621.00","639.00","+9.00","447",
"111/03/02","124,600","79,107,906","643.00","643.00","630.00","635.00","-4.00","234",
"111/03/03","125,137","79,444,719","642.00","642.00","629.00","636.00","+1.00","187",
"111/03/04","222,839","138,322,067","618.00","629.00","614.00","622.00","-14.00","326",
"111/03/07","629,326","377,284,453","609.00","619.00","593.00","594.00","-28.00","971",
"111/03/08","467,059","270,462,058","577.00","593.00","571.00","575.00","-19.00","831",
"111/03/09","308,264","178,293,468","580.00","587.00","575.00","575.00"," 0.00","436",
"111/03/10","338,326","200,253,823","581.00","598.00","581.00","597.00","+22.00","402",
"111/03/11","183,694","107,724,316","589.00","596.00","582.00","582.00","-15.00","342",
"111/03/14","206,895","120,810,828","587.00","590.00","581.00","581.00","-1.00","316",
"111/03/15","254,844","146,423,261","581.00","582.00","571.00","575.00","-6.00","463",
"111/03/16","501,981","285,013,724","576.00","581.00","562.00","567.00","-8.00","749",
"111/03/17","700,643","410,557,788","586.00","601.00","577.00","580.00","+13.00","754",
"111/03/18","1,261,216","721,167,134","581.00","585.00","569.00","569.00","-11.00","717",
"111/03/21","247,172","143,581,618","572.00","585.00","572.00","582.00","+13.00","300",
"111/03/22","171,235","100,364,390","587.00","590.00","583.00","585.00","+3.00","221",
"111/03/23","224,799","132,611,493","587.00","594.00","587.00","587.00","+2.00","343",
"111/03/24","132,153","77,655,228","581.00","591.00","581.00","589.00","+2.00","156",
"111/03/25","148,225","86,566,485","580.00","587.00","580.00","583.00","-6.00","197",
"111/03/28","165,985","95,791,205","571.00","583.00","571.00","583.00"," 0.00","363",
"111/03/29","108,584","63,479,327","583.00","588.00","582.00","586.00","+3.00","212",
"111/03/30","391,693","233,408,363","589.00","602.00","587.00","598.00","+12.00","481",
"111/03/31","283,464","170,004,725","598.00","608.00","596.00","598.00"," 0.00","301",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

