"110年01月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","404,287,511","18,275,865,330","46.15","46.50","44.00","45.55","-1.60","141,658",
"110/01/05","203,151,626","9,201,292,538","44.90","46.35","44.55","46.35","+0.80","68,714",
"110/01/06","302,206,740","14,254,097,781","47.55","47.75","45.90","46.95","+0.60","103,484",
"110/01/07","166,045,819","7,740,378,209","47.35","47.60","46.00","46.20","-0.75","52,112",
"110/01/08","338,482,001","16,095,382,370","46.70","48.35","46.30","47.85","+1.65","99,945",
"110/01/11","443,638,194","21,795,207,081","48.20","50.10","47.55","50.00","+2.15","138,063",
"110/01/12","491,919,725","24,570,843,112","50.50","51.90","48.40","48.45","-1.55","154,553",
"110/01/13","266,941,347","13,323,825,315","49.45","50.30","49.10","50.00","+1.55","77,843",
"110/01/14","199,727,784","10,003,386,531","49.80","50.90","49.50","49.90","-0.10","63,846",
"110/01/15","331,036,918","16,586,403,287","51.60","51.80","48.75","48.75","-1.15","99,564",
"110/01/18","190,786,703","9,234,420,950","48.30","49.85","46.50","49.65","+0.90","61,688",
"110/01/19","550,193,363","28,630,856,523","50.60","53.90","50.00","53.00","+3.35","171,509",
"110/01/20","519,997,814","27,748,767,076","54.00","54.90","51.60","52.10","-0.90","175,457",
"110/01/21","348,707,985","18,705,525,225","52.80","54.70","52.20","54.00","+1.90","112,643",
"110/01/22","423,774,771","23,673,553,672","54.00","57.20","53.60","56.50","+2.50","143,465",
"110/01/25","318,727,755","18,249,923,902","57.60","58.60","56.00","57.20","+0.70","108,698",
"110/01/26","323,042,265","17,964,503,480","57.10","57.60","53.90","54.80","-2.40","125,737",
"110/01/27","231,131,296","12,725,243,723","55.00","56.20","54.20","54.80"," 0.00","83,270",
"110/01/28","452,064,256","23,363,179,223","51.20","53.30","50.20","51.20","-3.60","160,733",
"110/01/29","272,439,447","14,011,797,389","52.30","52.60","50.00","50.00","-1.20","94,782",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

