"110年01月 2308 台達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","9,616,722","2,553,353,170","263.50","271.00","262.50","265.00","+2.00","6,878",
"110/01/05","18,236,900","5,052,768,448","270.00","283.00","269.50","276.50","+11.50","12,442",
"110/01/06","30,972,893","9,123,977,861","284.00","303.50","282.00","298.00","+21.50","22,763",
"110/01/07","25,367,203","7,787,513,900","298.00","321.50","298.00","316.00","+18.00","18,991",
"110/01/08","30,771,661","9,708,435,932","319.00","325.00","306.00","310.00","-6.00","25,031",
"110/01/11","16,599,358","5,137,076,867","307.00","314.00","302.00","313.00","+3.00","13,399",
"110/01/12","18,679,892","5,913,591,287","315.50","323.50","312.50","314.00","+1.00","14,864",
"110/01/13","16,035,160","5,008,356,275","312.00","315.50","310.50","312.50","-1.50","11,824",
"110/01/14","19,227,844","5,878,653,082","312.00","312.00","303.00","306.00","-6.50","14,190",
"110/01/15","20,027,526","6,052,412,763","304.00","313.00","297.00","299.50","-6.50","19,954",
"110/01/18","26,096,261","7,508,329,671","290.00","292.00","283.00","289.50","-10.00","19,283",
"110/01/19","10,907,152","3,222,538,590","291.50","298.00","291.50","294.00","+4.50","9,957",
"110/01/20","13,009,296","3,843,278,338","295.50","299.00","291.50","294.50","+0.50","10,823",
"110/01/21","13,150,028","3,901,243,481","297.00","300.00","293.00","299.00","+4.50","10,123",
"110/01/22","17,907,677","5,235,523,191","299.50","299.50","290.00","291.00","-8.00","12,145",
"110/01/25","8,135,451","2,388,422,812","288.00","296.50","288.00","295.50","+4.50","6,736",
"110/01/26","12,383,753","3,594,845,719","297.50","297.50","288.00","289.00","-6.50","10,312",
"110/01/27","13,941,415","3,954,146,032","285.00","291.50","283.50","287.50","-1.50","9,232",
"110/01/28","11,148,050","3,184,794,365","282.00","290.50","281.00","287.50"," 0.00","8,424",
"110/01/29","17,019,588","4,956,705,853","298.00","298.00","282.50","282.50","-5.00","11,044",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

