"10403る 2312 腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/03/02","15,203,937","227,750,025","14.75","15.10","14.75","15.00","+0.25","3,507",
"104/03/03","7,861,253","117,025,130","15.10","15.10","14.80","14.85","-0.15","1,577",
"104/03/04","4,276,421","63,538,710","14.85","14.95","14.80","14.85"," 0.00","1,337",
"104/03/05","10,038,680","150,205,521","14.80","15.10","14.70","15.10","+0.25","2,173",
"104/03/06","8,363,696","125,313,428","15.00","15.10","14.90","14.90","-0.20","1,613",
"104/03/09","5,095,308","75,754,874","14.80","14.95","14.80","14.85","-0.05","1,144",
"104/03/10","12,025,142","176,559,004","14.85","14.95","14.55","14.65","-0.20","2,953",
"104/03/11","7,781,208","113,620,971","14.50","14.75","14.45","14.75","+0.10","1,833",
"104/03/12","6,994,833","103,321,417","14.75","14.90","14.65","14.75"," 0.00","1,539",
"104/03/13","6,310,726","93,404,327","14.80","14.90","14.75","14.80","+0.05","1,245",
"104/03/16","8,654,863","128,429,340","14.80","14.95","14.70","14.85","+0.05","1,453",
"104/03/17","13,121,371","195,951,381","14.85","15.05","14.80","14.90","+0.05","2,527",
"104/03/18","9,684,991","144,548,790","14.95","15.05","14.80","14.80","-0.10","1,791",
"104/03/19","8,113,115","120,073,510","14.85","14.95","14.75","14.75","-0.05","1,711",
"104/03/20","35,855,180","543,423,496","15.00","15.30","14.95","15.25","+0.50","6,814",
"104/03/23","25,012,376","386,960,511","15.50","15.60","15.35","15.40","+0.15","4,818",
"104/03/24","25,258,781","393,480,539","15.45","15.75","15.35","15.65","+0.25","4,810",
"104/03/25","12,284,912","190,686,352","15.65","15.65","15.35","15.65"," 0.00","2,683",
"104/03/26","13,463,691","209,315,149","15.50","15.75","15.40","15.50","-0.15","2,332",
"104/03/27","14,865,735","229,008,582","15.50","15.65","15.25","15.35","-0.15","2,848",
"104/03/30","7,504,272","107,311,067","14.30","14.30","14.30","14.30","-1.05","1,520",
"104/03/31","30,435,901","429,408,563","14.10","14.30","13.90","14.30"," 0.00","4,909",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

