"111年07月 2312 金寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/07/01","26,613,109","321,740,089","13.00","13.00","11.75","11.90","-1.15","7,530",
"111/07/04","9,855,358","116,301,219","11.85","12.05","11.60","11.60","-0.30","2,802",
"111/07/05","7,783,777","92,641,110","11.90","12.15","11.70","12.15","+0.55","2,167",
"111/07/06","5,454,353","65,571,146","12.00","12.20","11.85","11.90","-0.25","1,515",
"111/07/07","5,972,314","72,450,160","12.10","12.25","11.85","12.25","+0.35","1,713",
"111/07/08","6,388,437","78,644,888","12.35","12.45","12.15","12.30","+0.05","1,705",
"111/07/11","4,533,243","56,411,406","12.45","12.55","12.35","12.40","+0.10","1,293",
"111/07/12","4,439,182","54,020,261","12.30","12.40","12.05","12.10","-0.30","1,414",
"111/07/13","5,514,875","68,599,858","12.35","12.50","12.35","12.45","+0.35","1,473",
"111/07/14","4,257,608","53,179,918","12.40","12.60","12.30","12.55","+0.10","1,064",
"111/07/15","3,754,716","47,202,615","12.60","12.65","12.45","12.60","+0.05","1,330",
"111/07/18","5,449,582","69,475,377","12.70","12.85","12.65","12.70","+0.10","1,479",
"111/07/19","2,781,081","35,256,451","12.65","12.80","12.60","12.75","+0.05","1,012",
"111/07/20","4,334,541","55,405,641","12.90","12.95","12.65","12.70","-0.05","1,450",
"111/07/21","4,931,930","62,700,877","12.70","12.80","12.60","12.75","+0.05","1,243",
"111/07/22","5,107,072","65,504,781","12.85","12.90","12.70","12.85","+0.10","1,368",
"111/07/25","3,955,303","51,007,823","12.90","12.95","12.80","12.95","+0.10","1,023",
"111/07/26","2,641,372","33,855,558","13.00","13.00","12.70","12.80","-0.15","994",
"111/07/27","2,910,799","37,353,935","12.85","12.90","12.75","12.85","+0.05","819",
"111/07/28","2,981,922","38,217,002","12.95","12.95","12.70","12.85"," 0.00","949",
"111/07/29","2,180,690","27,986,522","12.90","12.90","12.75","12.85"," 0.00","872",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

