"110年06月 2324 仁寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/06/01","7,628,259","179,167,844","23.45","23.65","23.40","23.45"," 0.00","2,964",
"110/06/02","15,765,507","366,769,745","23.50","23.60","23.05","23.10","-0.35","6,741",
"110/06/03","11,790,943","273,913,652","23.25","23.40","23.15","23.40","+0.30","4,306",
"110/06/04","12,162,201","282,208,137","23.30","23.30","23.15","23.20","-0.20","4,582",
"110/06/07","18,268,760","420,345,668","23.25","23.30","22.80","23.05","-0.15","5,669",
"110/06/08","12,308,563","283,938,666","23.25","23.25","23.00","23.15","+0.10","4,659",
"110/06/09","20,509,881","471,124,378","23.10","23.15","22.85","22.95","-0.20","5,656",
"110/06/10","21,366,807","484,911,163","22.85","23.05","22.50","22.85","-0.10","7,248",
"110/06/11","18,764,486","426,353,319","22.90","22.90","22.60","22.65","-0.20","5,952",
"110/06/15","21,998,506","493,962,715","22.65","22.65","22.30","22.50","-0.15","7,727",
"110/06/16","19,647,728","445,875,904","22.45","23.00","22.40","23.00","+0.50","8,699",
"110/06/17","20,075,480","459,966,670","23.15","23.15","22.70","23.05","+0.05","7,110",
"110/06/18","26,601,108","613,267,869","23.40","23.40","22.90","23.05"," 0.00","4,953",
"110/06/21","17,534,819","397,890,874","22.90","22.95","22.60","22.60","-0.45","7,224",
"110/06/22","28,748,039","643,695,846","22.65","22.70","22.30","22.30","-0.30","10,855",
"110/06/23","22,891,734","506,345,082","22.30","22.35","22.00","22.10","-0.20","8,545",
"110/06/24","15,687,206","347,082,053","22.10","22.25","22.05","22.10"," 0.00","5,620",
"110/06/25","13,496,755","298,489,307","22.15","22.20","22.05","22.05","-0.05","6,366",
"110/06/28","12,623,363","278,141,964","22.10","22.10","22.00","22.00","-0.05","5,452",
"110/06/29","15,309,930","337,791,026","22.05","22.15","22.00","22.05","+0.05","5,456",
"110/06/30","23,709,763","530,138,241","22.05","22.55","22.05","22.35","+0.30","7,194",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

