"108年08月 2351 順德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","953,050","59,467,045","63.70","63.70","61.80","62.00","-1.70","672",
"108/08/02","752,775","45,553,486","61.10","61.10","60.20","60.50","-1.50","472",
"108/08/05","654,030","39,538,318","60.50","61.00","59.70","60.30","-0.20","404",
"108/08/06","619,005","36,500,004","58.60","60.00","58.00","59.60","-0.70","485",
"108/08/07","512,200","30,729,999","60.20","60.60","59.60","59.60"," 0.00","346",
"108/08/08","342,100","20,714,459","59.70","61.40","59.70","60.00","+0.40","244",
"108/08/12","326,015","19,510,407","60.00","60.60","59.40","59.60","-0.40","251",
"108/08/13","288,000","16,968,100","59.60","59.60","58.60","58.70","-0.90","205",
"108/08/14","370,158","21,756,240","59.50","59.60","58.50","58.50","-0.20","319",
"108/08/15","575,453","32,784,591","57.80","57.80","56.70","57.00","-1.50","436",
"108/08/16","470,054","26,627,083","57.00","57.20","56.10","56.60","-0.40","349",
"108/08/19","402,828","23,246,655","57.00","58.30","57.00","58.20","+1.60","309",
"108/08/20","466,074","27,245,634","58.70","59.10","58.00","58.60","+0.40","368",
"108/08/21","495,000","28,619,900","58.60","58.80","57.50","57.90","-0.70","339",
"108/08/22","365,249","21,485,715","58.10","59.40","58.10","58.60","+0.70","234",
"108/08/23","750,023","44,972,407","59.10","61.00","58.60","60.60","+2.00","543",
"108/08/26","522,070","31,449,383","59.30","60.90","58.90","60.90","+0.30","349",
"108/08/27","521,009","31,834,655","61.00","62.40","60.30","61.10","+0.20","358",
"108/08/28","190,082","11,490,660","61.10","61.10","60.10","60.10","-1.00","146",
"108/08/29","169,000","10,222,000","61.00","61.10","60.00","60.00","-0.10","131",
"108/08/30","715,423","44,089,351","60.80","62.10","60.80","61.70","+1.70","521",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

