"110年04月 2352 佳世達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/04/01","28,156,066","946,622,802","34.50","34.60","33.15","33.45","-0.80","11,885",
"110/04/06","17,013,483","569,886,788","33.75","33.95","33.00","33.50","+0.05","7,676",
"110/04/07","17,364,855","591,142,151","33.90","34.40","33.50","34.40","+0.90","7,014",
"110/04/08","15,525,403","533,187,656","34.60","34.80","34.00","34.40"," 0.00","6,488",
"110/04/09","17,677,445","610,768,779","34.50","34.95","34.15","34.20","-0.20","7,450",
"110/04/12","26,861,614","952,090,314","34.55","36.20","34.50","35.55","+1.35","11,925",
"110/04/13","29,518,177","1,041,192,343","35.10","35.95","34.60","34.85","-0.70","13,773",
"110/04/14","37,908,895","1,267,277,218","34.85","35.05","32.30","33.25","-1.60","18,090",
"110/04/15","20,018,248","672,828,909","33.55","34.20","33.30","33.55","+0.30","9,353",
"110/04/16","18,065,100","613,869,073","33.80","34.40","33.55","34.40","+0.85","8,359",
"110/04/19","23,334,307","827,738,940","35.15","36.00","34.65","35.55","+1.15","10,545",
"110/04/20","27,286,831","993,003,719","36.00","37.00","35.80","36.85","+1.30","12,076",
"110/04/21","29,956,038","1,132,683,960","37.00","38.50","36.35","38.05","+1.20","13,531",
"110/04/22","35,449,550","1,315,381,885","38.45","38.75","35.45","35.95","-2.10","17,184",
"110/04/23","12,986,892","466,725,819","36.05","36.70","35.20","35.95"," 0.00","6,008",
"110/04/26","13,239,105","478,081,384","36.95","36.95","35.80","36.20","+0.25","5,354",
"110/04/27","12,071,056","433,920,948","36.40","36.45","35.65","35.85","-0.35","5,029",
"110/04/28","11,527,030","415,923,677","35.85","36.40","35.70","36.10","+0.25","5,196",
"110/04/29","15,186,875","555,748,674","36.70","37.00","36.05","36.40","+0.30","6,560",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

