"107年11月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/01","11,028,210","244,639,746","21.85","22.45","21.80","22.30","+0.60","4,030",
"107/11/02","14,401,615","326,512,331","22.40","22.95","22.20","22.95","+0.65","4,723",
"107/11/05","7,861,556","177,136,501","22.70","22.85","22.35","22.50","-0.45","2,512",
"107/11/06","7,957,705","179,499,105","22.55","22.80","22.40","22.45","-0.05","2,614",
"107/11/07","5,733,000","130,688,737","22.75","22.90","22.60","22.90","+0.45","2,386",
"107/11/08","30,254,699","675,840,728","23.20","23.20","21.95","21.95","-0.95","9,618",
"107/11/09","21,663,993","461,313,320","21.50","21.60","21.10","21.30","-0.65","7,348",
"107/11/12","26,116,647","534,928,983","20.50","21.00","20.25","20.25","-1.05","9,836",
"107/11/13","20,821,720","408,593,300","19.50","19.90","19.30","19.90","-0.35","7,263",
"107/11/14","32,474,267","626,414,091","19.85","19.85","19.00","19.20","-0.70","10,991",
"107/11/15","21,239,041","407,673,662","19.10","19.55","19.05","19.05","-0.15","7,095",
"107/11/16","10,786,485","207,813,868","19.20","19.40","19.15","19.25","+0.20","4,077",
"107/11/19","10,165,566","198,141,445","19.35","19.70","19.30","19.50","+0.25","3,947",
"107/11/20","12,875,690","249,113,789","19.45","19.60","19.20","19.20","-0.30","4,571",
"107/11/21","15,389,934","291,781,925","19.10","19.15","18.70","19.00","-0.20","5,844",
"107/11/22","8,595,919","163,071,459","19.10","19.20","18.80","18.80","-0.20","3,358",
"107/11/23","9,592,858","182,932,312","18.95","19.30","18.80","19.05","+0.25","3,522",
"107/11/26","10,050,442","193,601,092","19.25","19.55","19.05","19.15","+0.10","3,730",
"107/11/27","9,828,275","188,698,341","19.20","19.35","19.10","19.25","+0.10","3,417",
"107/11/28","19,127,659","376,436,385","19.40","19.95","19.35","19.90","+0.65","6,865",
"107/11/29","15,984,345","318,178,433","20.10","20.25","19.65","19.65","-0.25","5,714",
"107/11/30","15,392,886","305,564,219","19.80","19.95","19.70","19.90","+0.25","3,764",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

