"110年08月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","8,740,583","679,177,667","77.30","78.40","77.30","78.00","+0.70","4,863",
"110/08/03","10,969,679","845,811,960","78.00","78.10","76.50","77.40","-0.60","6,832",
"110/08/04","15,819,238","1,209,501,135","77.40","77.40","76.10","76.20","-1.20","10,186",
"110/08/05","7,314,423","558,714,527","76.10","76.90","76.10","76.40","+0.20","5,254",
"110/08/06","5,748,237","441,589,670","76.90","77.50","76.20","77.10","+0.70","3,779",
"110/08/09","8,235,083","634,715,028","77.20","77.50","76.20","77.50","+0.40","4,433",
"110/08/10","5,757,466","443,311,265","77.80","77.80","76.80","77.10","-0.40","3,115",
"110/08/11","7,846,094","599,861,625","77.00","77.00","76.20","76.40","-0.70","5,156",
"110/08/12","6,542,450","496,735,239","76.50","76.60","75.60","76.00","-0.40","3,945",
"110/08/13","14,009,399","1,037,001,644","75.90","75.90","73.30","73.70","-2.30","8,928",
"110/08/16","12,243,945","894,721,126","73.60","73.70","72.50","73.20","-0.50","6,315",
"110/08/17","9,699,155","713,370,949","73.90","74.60","73.20","73.70","+0.50","4,605",
"110/08/18","12,292,183","918,630,004","73.80","75.50","73.50","75.20","+1.50","6,462",
"110/08/19","6,795,159","506,654,187","75.00","75.30","74.10","74.90","-0.30","3,768",
"110/08/20","6,821,731","516,383,698","75.90","76.50","74.80","75.60","+0.70","4,082",
"110/08/23","5,707,842","434,606,771","76.40","76.60","75.50","75.90","+0.30","3,208",
"110/08/24","5,987,629","458,869,057","76.30","77.00","76.20","76.70","+0.80","3,247",
"110/08/25","5,528,017","425,833,626","76.80","77.20","76.80","77.00","+0.30","3,265",
"110/08/26","4,700,085","358,721,231","77.00","77.20","76.00","76.30","-0.70","2,797",
"110/08/27","4,123,327","316,034,001","76.10","76.90","76.00","76.80","+0.50","1,949",
"110/08/30","4,785,918","369,361,218","76.90","77.50","76.70","77.50","+0.70","2,781",
"110/08/31","9,530,056","744,013,870","77.50","78.40","77.20","78.40","+0.90","3,360",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

