"110年01月 2395 研華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/01/04","1,085,894","379,571,866","345.00","354.00","344.50","349.00","-1.00","952",
"110/01/05","1,383,513","473,801,309","349.00","349.50","339.00","343.50","-5.50","1,085",
"110/01/06","752,054","255,754,974","337.50","343.50","337.00","339.00","-4.50","701",
"110/01/07","1,680,975","580,232,782","343.00","349.50","339.50","344.50","+5.50","927",
"110/01/08","2,260,635","767,280,811","339.50","344.00","336.00","340.00","-4.50","1,380",
"110/01/11","1,307,058","456,045,826","343.00","352.50","340.00","352.50","+12.50","1,019",
"110/01/12","2,446,281","883,012,737","354.00","370.00","351.50","363.50","+11.00","1,881",
"110/01/13","1,800,841","663,914,715","369.00","373.00","366.00","368.50","+5.00","1,340",
"110/01/14","1,548,535","559,767,116","367.00","367.00","357.00","367.00","-1.50","1,217",
"110/01/15","2,056,951","748,657,327","363.50","371.00","361.50","361.50","-5.50","855",
"110/01/18","2,188,484","805,031,735","361.50","370.00","361.50","369.50","+8.00","810",
"110/01/19","2,507,225","976,482,624","374.50","396.00","372.00","393.00","+23.50","1,558",
"110/01/20","1,969,200","743,910,794","384.50","384.50","372.00","374.00","-19.00","1,683",
"110/01/21","2,658,503","982,596,122","370.00","382.00","356.00","370.00","-4.00","2,001",
"110/01/22","2,259,294","796,495,005","365.00","365.50","346.00","346.00","-24.00","2,214",
"110/01/25","1,316,167","460,666,430","347.00","354.00","345.00","350.00","+4.00","1,154",
"110/01/26","1,227,307","428,324,913","350.00","355.00","343.00","348.50","-1.50","1,025",
"110/01/27","1,284,710","453,894,955","356.00","360.00","352.50","354.50","+6.00","960",
"110/01/28","1,814,238","633,931,828","351.00","354.50","346.50","350.50","-4.00","895",
"110/01/29","1,780,366","618,046,806","345.50","355.00","344.00","346.00","-4.50","1,207",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

