"111年12月 2409 友達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/12/01","46,384,607","757,131,753","16.35","16.45","16.15","16.35","+0.25","10,771",
"111/12/02","30,970,376","503,520,088","16.25","16.35","16.10","16.30","-0.05","7,751",
"111/12/05","47,663,530","785,133,039","16.25","16.65","16.20","16.55","+0.25","10,440",
"111/12/06","43,049,925","697,341,987","16.55","16.55","16.00","16.00","-0.55","10,709",
"111/12/07","49,205,470","778,995,238","15.90","16.05","15.65","15.65","-0.35","14,099",
"111/12/08","22,541,885","353,626,718","15.70","15.85","15.50","15.65"," 0.00","6,046",
"111/12/09","18,713,248","294,350,540","15.75","15.80","15.65","15.70","+0.05","4,597",
"111/12/12","32,534,874","506,362,110","15.60","15.70","15.40","15.70"," 0.00","8,355",
"111/12/13","39,120,134","610,618,979","15.90","15.95","15.40","15.45","-0.25","12,398",
"111/12/14","32,309,118","506,794,516","15.60","15.95","15.45","15.75","+0.30","8,842",
"111/12/15","39,250,181","610,690,504","15.65","15.75","15.50","15.50","-0.25","12,443",
"111/12/16","167,022,827","2,522,460,850","15.20","15.40","15.05","15.05","-0.45","19,567",
"111/12/19","64,892,737","975,290,619","15.10","15.25","14.95","14.95","-0.10","13,162",
"111/12/20","67,190,969","1,001,544,971","14.90","15.15","14.80","14.80","-0.15","12,129",
"111/12/21","68,474,393","1,009,838,493","14.95","15.00","14.65","14.65","-0.15","17,290",
"111/12/22","80,803,902","1,236,794,616","14.85","15.55","14.85","15.30","+0.65","13,221",
"111/12/23","36,393,849","557,682,900","15.15","15.45","15.00","15.40","+0.10","7,043",
"111/12/26","18,597,546","288,578,203","15.50","15.65","15.35","15.50","+0.10","5,247",
"111/12/27","17,797,050","276,956,583","15.60","15.70","15.45","15.50"," 0.00","4,994",
"111/12/28","22,621,973","345,200,394","15.50","15.55","15.10","15.15","-0.35","6,450",
"111/12/29","25,890,053","390,586,365","15.15","15.20","15.00","15.10","-0.05","5,584",
"111/12/30","14,971,246","225,561,324","15.20","15.25","15.00","15.00","-0.10","4,598",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

