"110年08月 2454 聯發科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","4,122,769","3,826,838,780","924.00","934.00","920.00","934.00","+24.00","5,452",
"110/08/03","3,168,619","2,972,009,646","948.00","948.00","930.00","938.00","+4.00","3,738",
"110/08/04","6,227,344","5,907,071,537","948.00","953.00","941.00","950.00","+12.00","8,307",
"110/08/05","7,656,801","7,345,324,298","960.00","964.00","952.00","961.00","+11.00","8,722",
"110/08/06","3,869,980","3,640,698,712","956.00","957.00","935.00","936.00","-25.00","6,801",
"110/08/09","4,439,039","4,087,240,470","928.00","928.00","911.00","921.00","-15.00","5,807",
"110/08/10","2,513,902","2,320,569,397","930.00","930.00","916.00","922.00","+1.00","3,144",
"110/08/11","4,585,315","4,175,799,220","913.00","916.00","906.00","910.00","-12.00","6,948",
"110/08/12","4,309,333","3,919,105,870","923.00","923.00","901.00","904.00","-6.00","6,828",
"110/08/13","5,316,640","4,834,227,125","909.00","916.00","901.00","910.00","+6.00","4,922",
"110/08/16","3,748,871","3,400,104,149","910.00","918.00","900.00","901.00","-9.00","5,421",
"110/08/17","5,619,978","4,996,772,917","903.00","905.00","880.00","880.00","-21.00","14,819",
"110/08/18","6,112,567","5,442,899,929","870.00","912.00","865.00","912.00","+32.00","9,482",
"110/08/19","5,605,024","5,009,046,115","908.00","914.00","882.00","888.00","-24.00","9,574",
"110/08/20","5,568,161","4,914,351,650","899.00","904.00","870.00","873.00","-15.00","9,040",
"110/08/23","5,355,550","4,834,290,895","882.00","915.00","882.00","911.00","+38.00","7,145",
"110/08/24","3,669,517","3,336,483,251","920.00","920.00","903.00","909.00","-2.00","3,725",
"110/08/25","4,529,009","4,118,558,224","915.00","915.00","900.00","911.00","+2.00","3,740",
"110/08/26","9,982,776","8,837,978,854","906.00","907.00","870.00","888.00","-23.00","20,930",
"110/08/27","5,541,636","4,931,572,441","873.00","896.00","873.00","896.00","+8.00","6,152",
"110/08/30","4,321,735","3,915,780,618","902.00","912.00","898.00","912.00","+16.00","5,396",
"110/08/31","7,759,596","6,953,519,849","917.00","917.00","885.00","901.00","-11.00","8,621",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

