"10004る 2457 Щ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/04/01","5,951,945","308,214,383","49.80","52.80","49.80","52.70","+3.30","2,578",
"100/04/06","4,425,282","237,340,446","54.10","54.50","53.00","53.00","+0.30","1,802",
"100/04/07","6,239,528","342,319,399","53.80","55.60","53.20","54.70","+1.70","2,310",
"100/04/08","4,686,208","258,432,852","55.40","55.90","54.00","54.50","-0.20","1,733",
"100/04/11","2,060,872","109,976,193","54.40","54.40","52.80","54.00","-0.50","821",
"100/04/12","1,236,121","65,763,017","54.30","54.30","52.50","53.30","-0.70","586",
"100/04/13","969,570","52,024,610","53.40","54.00","53.20","54.00","+0.70","518",
"100/04/14","10,115,911","567,575,499","54.70","57.40","54.10","56.90","+2.90","4,203",
"100/04/15","9,561,344","550,363,747","57.00","58.60","56.60","56.90"," 0.00","4,392",
"100/04/18","4,078,450","229,536,818","57.50","57.50","55.30","55.40","-1.50","1,775",
"100/04/19","3,267,670","181,896,236","54.80","56.50","54.80","56.30","+0.90","1,450",
"100/04/20","7,883,317","453,449,878","56.90","58.30","56.70","57.10","+0.80","3,011",
"100/04/21","4,021,218","228,770,508","57.80","58.00","56.20","56.30","-0.80","1,778",
"100/04/22","5,787,788","330,568,539","57.30","58.00","56.10","57.00","+0.70","2,319",
"100/04/25","6,981,691","374,048,181","55.00","55.90","53.10","53.10","-3.90","2,574",
"100/04/26","6,390,778","335,273,952","51.90","53.50","51.00","53.50","+0.40","2,261",
"100/04/27","5,181,679","281,329,866","54.00","54.70","53.90","54.20","+0.70","1,957",
"100/04/28","8,873,464","499,974,806","56.20","57.00","55.40","56.10","+1.90","3,469",
"100/04/29","4,814,822","269,862,967","56.90","56.90","55.00","55.40","-0.70","2,231",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

