"111年06月 2457 飛宏             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/06/01","19,343,933","803,760,080","40.00","42.75","39.90","40.75","+1.35","11,452",
"111/06/02","5,289,856","212,211,733","40.75","40.75","39.65","40.00","-0.75","3,924",
"111/06/06","3,216,274","126,846,548","40.35","40.35","39.15","39.15","-0.85","2,198",
"111/06/07","6,825,370","275,101,874","38.95","40.90","38.80","40.30","+1.15","4,243",
"111/06/08","21,430,067","892,544,210","40.65","42.60","40.50","41.25","+0.95","12,608",
"111/06/09","4,187,462","170,666,798","40.75","41.25","40.40","40.60","-0.65","3,178",
"111/06/10","3,547,012","141,422,448","40.00","40.20","39.60","40.00","-0.60","2,319",
"111/06/13","3,734,871","145,200,592","39.00","39.20","38.70","38.80","-1.20","2,386",
"111/06/14","3,297,057","127,078,998","38.60","39.10","37.90","39.10","+0.30","2,144",
"111/06/15","3,474,046","134,268,587","39.05","39.50","38.10","38.30","-0.80","2,361",
"111/06/16","3,550,612","135,970,479","38.80","39.25","37.35","37.40","-0.90","2,263",
"111/06/17","4,558,728","168,572,489","37.40","37.65","36.50","36.95","-0.45","2,692",
"111/06/20","4,575,598","164,839,390","37.10","37.15","35.10","35.10","-1.85","2,948",
"111/06/21","3,073,237","111,316,827","35.60","36.90","35.60","36.70","+1.60","2,179",
"111/06/22","5,101,593","185,198,620","36.70","37.40","35.45","35.60","-1.10","3,258",
"111/06/23","6,222,121","225,228,613","36.25","37.00","35.30","35.95","+0.35","3,534",
"111/06/24","5,284,678","196,279,618","36.95","37.60","36.60","36.85","+0.90","3,166",
"111/06/27","4,105,526","154,205,206","37.80","37.90","37.00","37.80","+0.95","2,401",
"111/06/28","3,004,731","110,755,110","37.90","37.90","36.30","36.80","-1.00","2,314",
"111/06/29","3,468,203","124,504,356","36.65","36.65","35.45","35.90","-0.90","2,234",
"111/06/30","6,455,206","224,567,143","35.60","35.80","33.95","34.00","-1.90","3,926",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

