"108年09月 2498 宏達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/09/02","3,166,589","109,483,665","34.60","34.90","34.30","34.90","+0.15","1,665",
"108/09/03","2,395,104","83,715,915","35.35","35.35","34.70","34.75","-0.15","1,265",
"108/09/04","3,653,621","128,332,495","34.65","35.35","34.65","35.25","+0.50","1,993",
"108/09/05","4,309,756","153,559,132","35.55","35.95","35.40","35.50","+0.25","2,244",
"108/09/06","5,740,008","206,892,535","35.85","36.45","35.50","36.20","+0.70","3,031",
"108/09/09","6,590,214","242,662,220","36.55","37.25","36.40","36.75","+0.55","3,501",
"108/09/10","4,924,330","178,280,380","36.60","36.90","35.80","35.85","-0.90","2,647",
"108/09/11","8,466,819","311,065,296","36.05","37.50","36.00","37.25","+1.40","4,215",
"108/09/12","5,743,752","213,193,169","37.60","37.90","36.80","37.05","-0.20","3,016",
"108/09/16","3,410,747","125,742,583","37.20","37.20","36.55","37.10","+0.05","1,810",
"108/09/17","4,649,547","172,574,876","37.20","37.65","36.65","36.65","-0.45","2,514",
"108/09/18","25,855,774","999,634,211","37.15","39.90","37.05","38.55","+1.90","13,426",
"108/09/19","11,774,508","445,821,510","38.60","38.85","37.50","37.50","-1.05","6,069",
"108/09/20","6,580,533","248,515,289","37.60","38.15","37.30","37.70","+0.20","3,372",
"108/09/23","3,495,889","132,510,158","38.00","38.25","37.65","37.65","-0.05","2,086",
"108/09/24","3,126,888","118,278,171","37.90","38.15","37.55","37.60","-0.05","1,722",
"108/09/25","5,459,021","201,877,416","37.35","37.45","36.60","36.65","-0.95","2,780",
"108/09/26","3,659,487","134,978,935","37.00","37.25","36.65","36.70","+0.05","2,008",
"108/09/27","7,919,609","285,388,431","36.95","37.00","35.50","35.50","-1.20","3,654",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

