"10407る 2515 い             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/07/01","3,683,298","30,348,177","8.28","8.28","8.18","8.23","-0.02","1,083",
"104/07/02","4,908,887","40,511,409","8.27","8.28","8.23","8.24","+0.01","1,210",
"104/07/03","9,275,540","76,825,729","8.27","8.35","8.19","8.30","+0.06","2,976",
"104/07/06","4,571,016","37,813,296","8.34","8.34","8.21","8.22","-0.08","1,017",
"104/07/07","4,905,150","40,313,008","8.25","8.29","8.17","8.18","-0.04","1,498",
"104/07/08","9,089,444","74,354,458","8.33","8.33","8.08","8.10","-0.08","2,168",
"104/07/09","8,669,045","69,613,478","8.08","8.10","7.88","8.06","-0.04","1,667",
"104/07/13","8,154,200","67,325,002","8.29","8.30","8.18","8.20","+0.14","1,856",
"104/07/14","34,197,484","292,143,990","8.34","8.70","8.30","8.64","+0.44","6,479",
"104/07/15","16,986,090","147,331,623","8.72","8.77","8.60","8.61","-0.03","3,866",
"104/07/16","8,413,098","71,871,003","8.61","8.66","8.48","8.51","-0.10","2,311",
"104/07/17","14,972,180","129,922,927","8.53","8.74","8.53","8.71","+0.20","3,145",
"104/07/20","11,334,969","100,040,891","8.81","8.92","8.75","8.75","+0.04","2,469",
"104/07/21","7,963,167","69,600,990","8.81","8.83","8.64","8.71","-0.04","1,490",
"104/07/22","9,043,219","79,436,988","8.73","8.83","8.68","8.80","+0.09","1,914",
"104/07/23","12,843,156","112,449,314","8.83","8.84","8.60","8.78","-0.02","2,420",
"104/07/24","4,724,829","41,393,956","8.82","8.82","8.71","8.72","-0.06","1,365",
"104/07/27","16,196,642","135,746,023","8.79","8.79","8.06","8.12","-0.60","3,180",
"104/07/28","10,302,722","85,666,510","8.10","8.47","8.10","8.40","+0.28","2,689",
"104/07/29","7,598,031","64,535,694","8.49","8.56","8.41","8.52","+0.12","1,720",
"104/07/30","5,869,570","50,488,362","8.63","8.65","8.56","8.56","+0.04","1,744",
"104/07/31","4,860,878","41,837,152","8.64","8.64","8.56","8.56"," 0.00","1,594",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

