"108年09月 2515 中工             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/09/02","3,616,633","27,442,933","7.57","7.63","7.54","7.63","+0.09","794",
"108/09/03","4,211,327","32,008,242","7.67","7.67","7.56","7.60","-0.03","777",
"108/09/04","2,061,928","15,711,684","7.60","7.64","7.58","7.64","+0.04","555",
"108/09/05","8,503,051","65,539,816","7.65","7.76","7.65","7.76","+0.12","1,758",
"108/09/06","4,477,426","34,580,574","7.81","7.81","7.68","7.70","-0.06","915",
"108/09/09","8,949,524","69,658,016","7.79","7.86","7.72","7.74","+0.04","1,510",
"108/09/10","5,849,366","45,538,176","7.80","7.82","7.73","7.81","+0.07","1,000",
"108/09/11","10,878,985","85,881,588","7.82","7.96","7.82","7.93","+0.12","2,064",
"108/09/12","5,405,010","43,124,569","8.00","8.02","7.95","7.96","+0.03","1,144",
"108/09/16","3,330,730","26,480,598","8.00","8.00","7.91","7.91","-0.05","780",
"108/09/17","2,960,267","23,459,761","7.97","7.98","7.89","7.91"," 0.00","685",
"108/09/18","3,388,523","26,785,891","7.95","7.96","7.88","7.88","-0.03","1,140",
"108/09/19","3,118,978","24,558,783","7.90","7.92","7.84","7.87","-0.01","608",
"108/09/20","8,755,666","69,726,640","7.87","8.00","7.87","7.98","+0.11","1,615",
"108/09/23","10,827,401","87,638,036","8.09","8.16","8.05","8.08","+0.10","2,135",
"108/09/24","7,286,143","58,256,195","8.10","8.10","7.94","7.96","-0.12","1,341",
"108/09/25","6,351,932","50,639,948","7.98","8.02","7.90","8.01","+0.05","1,425",
"108/09/26","26,076,096","209,897,221","8.31","8.31","7.84","7.85","-0.16","5,131",
"108/09/27","7,451,912","57,786,023","7.86","7.91","7.70","7.76","-0.09","1,393",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

