"109年09月 2606 裕民             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","2,540,930","76,226,676","30.00","30.45","29.65","29.70","-0.30","1,154",
"109/09/02","1,031,250","30,684,531","29.75","29.90","29.65","29.70"," 0.00","467",
"109/09/03","5,931,801","180,074,217","29.90","30.60","29.80","30.45","+0.75","2,714",
"109/09/04","3,772,758","114,206,488","29.95","30.70","29.80","30.40","-0.05","2,194",
"109/09/07","5,393,310","167,782,531","30.65","31.45","30.60","31.25","+0.85","2,867",
"109/09/08","3,584,571","111,000,576","31.25","31.25","30.70","30.70","-0.55","2,341",
"109/09/09","1,772,794","53,817,775","30.00","30.70","29.95","30.45","-0.25","859",
"109/09/10","1,414,273","42,609,892","30.40","30.40","30.05","30.10","-0.35","753",
"109/09/11","2,827,244","83,741,696","30.10","30.10","29.30","29.60","-0.50","1,511",
"109/09/14","1,635,177","48,086,951","29.80","29.80","29.10","29.50","-0.10","1,228",
"109/09/15","1,241,817","36,375,132","29.50","29.60","29.15","29.40","-0.10","768",
"109/09/16","1,341,106","39,051,589","29.20","29.30","29.05","29.20","-0.20","729",
"109/09/17","1,301,777","37,931,097","29.20","29.25","29.05","29.20"," 0.00","883",
"109/09/18","1,556,462","45,286,931","29.20","29.40","28.95","28.95","-0.25","921",
"109/09/21","1,485,571","43,227,471","28.95","29.40","28.95","29.15","+0.20","863",
"109/09/22","1,569,396","45,216,352","29.00","29.10","28.65","28.70","-0.45","688",
"109/09/23","1,264,588","36,098,924","28.70","28.90","28.30","28.35","-0.35","688",
"109/09/24","1,974,765","55,439,349","28.30","28.50","27.85","28.00","-0.35","968",
"109/09/25","1,282,782","36,701,214","28.50","29.05","28.20","28.55","+0.55","688",
"109/09/28","5,341,919","160,245,570","29.60","30.50","29.30","30.05","+1.50","2,751",
"109/09/29","4,481,653","135,699,120","30.70","30.85","29.80","29.95","-0.10","1,977",
"109/09/30","1,179,296","35,312,485","29.95","30.10","29.85","29.95"," 0.00","564",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

