"107年08月 2609 陽明             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/08/01","2,243,837","20,828,297","9.23","9.34","9.18","9.28","+0.10","863",
"107/08/02","2,211,021","20,295,000","9.27","9.27","9.13","9.13","-0.15","979",
"107/08/03","881,766","8,075,611","9.20","9.21","9.13","9.20","+0.07","409",
"107/08/06","3,234,777","30,096,901","9.25","9.36","9.21","9.27","+0.07","1,040",
"107/08/07","2,292,018","21,380,895","9.35","9.35","9.30","9.30","+0.03","748",
"107/08/08","2,151,947","20,075,987","9.32","9.37","9.30","9.31","+0.01","722",
"107/08/09","1,354,748","12,585,010","9.31","9.35","9.27","9.27","-0.04","482",
"107/08/10","3,262,389","29,843,637","9.32","9.32","9.07","9.08","-0.19","1,159",
"107/08/13","8,583,922","74,629,969","8.83","8.83","8.59","8.62","-0.46","2,287",
"107/08/14","3,416,665","29,347,383","8.53","8.69","8.53","8.63","+0.01","1,253",
"107/08/15","3,429,770","29,345,428","8.63","8.69","8.50","8.50","-0.13","1,208",
"107/08/16","3,759,594","31,675,188","8.40","8.52","8.35","8.41","-0.09","920",
"107/08/17","2,126,051","17,912,270","8.47","8.47","8.36","8.36","-0.05","681",
"107/08/20","3,402,961","29,071,664","8.39","8.60","8.39","8.57","+0.21","1,112",
"107/08/21","2,170,537","18,814,463","8.67","8.70","8.62","8.69","+0.12","821",
"107/08/22","2,080,333","18,268,716","8.82","8.82","8.72","8.79","+0.10","833",
"107/08/23","3,581,894","31,907,425","8.76","9.10","8.66","8.96","+0.17","1,012",
"107/08/24","999,515","8,839,163","8.90","8.90","8.80","8.85","-0.11","429",
"107/08/27","793,675","7,020,603","8.85","8.88","8.82","8.82","-0.03","333",
"107/08/28","1,127,054","9,983,430","8.84","8.89","8.82","8.88","+0.06","472",
"107/08/29","1,667,644","14,917,144","8.88","8.97","8.88","8.91","+0.03","614",
"107/08/30","807,100","7,161,593","8.95","8.95","8.84","8.85","-0.06","399",
"107/08/31","1,229,808","10,912,357","8.85","8.98","8.79","8.84","-0.01","393",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

