"108年06月 2610 華航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/06/03","5,089,374","49,321,386","9.74","9.75","9.67","9.69","-0.05","1,476",
"108/06/04","3,250,491","31,534,312","9.69","9.74","9.67","9.70","+0.01","1,296",
"108/06/05","3,610,660","35,088,578","9.69","9.75","9.69","9.70"," 0.00","1,354",
"108/06/06","7,028,598","68,589,867","9.70","9.79","9.70","9.79","+0.09","1,816",
"108/06/10","5,439,585","53,141,457","9.80","9.83","9.73","9.74","-0.05","1,604",
"108/06/11","7,215,686","70,835,863","9.75","9.85","9.75","9.85","+0.11","1,851",
"108/06/12","6,268,534","61,717,754","9.86","9.87","9.81","9.83","-0.02","2,178",
"108/06/13","5,929,166","58,569,567","9.83","9.90","9.82","9.86","+0.03","1,792",
"108/06/14","8,002,744","78,237,019","9.84","9.84","9.70","9.70","-0.16","2,590",
"108/06/17","7,262,188","70,855,756","9.70","9.83","9.70","9.83","+0.13","2,954",
"108/06/18","7,404,749","72,609,145","9.83","9.86","9.75","9.80","-0.03","2,153",
"108/06/19","9,948,753","98,163,346","9.85","9.90","9.81","9.89","+0.09","3,093",
"108/06/20","19,806,697","199,343,469","9.92","10.20","9.90","10.20","+0.31","4,757",
"108/06/21","31,681,350","325,083,889","10.35","10.35","10.10","10.30","+0.10","4,664",
"108/06/24","12,845,282","130,713,472","10.30","10.30","10.10","10.15","-0.15","2,843",
"108/06/25","13,708,486","137,179,240","10.15","10.20","9.92","10.00","-0.15","2,752",
"108/06/26","9,756,903","96,903,216","9.98","10.05","9.86","9.93","-0.07","3,022",
"108/06/27","9,712,505","96,568,576","9.96","10.00","9.91","9.96","+0.03","2,665",
"108/06/28","8,396,016","82,479,114","9.95","9.95","9.75","9.84","-0.12","2,187",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

