"111年06月 2615 萬海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/06/01","12,762,339","2,043,401,908","158.00","162.00","157.50","159.50","+2.50","7,929",
"111/06/02","5,389,610","856,823,101","158.00","160.50","157.50","158.50","-1.00","4,257",
"111/06/06","16,159,226","2,599,279,050","159.50","163.50","158.50","158.50"," 0.00","9,110",
"111/06/07","7,826,347","1,246,789,138","159.50","161.00","157.50","159.00","+0.50","4,474",
"111/06/08","8,663,417","1,393,791,392","160.50","162.00","159.50","161.50","+2.50","5,220",
"111/06/09","17,497,029","2,731,065,903","157.50","158.00","154.50","155.00","-6.50","11,904",
"111/06/10","14,937,602","2,258,343,627","152.50","153.50","150.00","150.00","-5.00","9,676",
"111/06/13","14,497,260","2,089,750,955","145.00","146.00","142.50","143.00","-7.00","10,864",
"111/06/14","11,239,775","1,602,696,805","141.50","144.00","141.00","143.00"," 0.00","7,173",
"111/06/15","10,776,358","1,531,720,349","144.00","145.00","140.00","140.50","-2.50","7,421",
"111/06/16","25,519,124","3,465,121,698","143.00","143.50","131.00","131.00","-9.50","16,942",
"111/06/17","20,963,398","2,758,268,459","130.00","134.50","129.00","131.00"," 0.00","11,276",
"111/06/20","31,855,272","3,920,800,747","131.00","131.00","119.00","119.50","-11.50","18,768",
"111/06/21","22,346,489","2,734,564,502","122.50","124.50","119.00","123.50","+4.00","11,283",
"111/06/22","41,977,911","4,986,988,610","122.50","123.50","114.50","120.00","-3.50","22,023",
"111/06/23","44,204,563","5,023,461,978","120.00","120.00","110.00","110.50","-9.50","23,043",
"111/06/24","43,016,122","4,990,684,239","112.50","121.00","112.50","116.50","+6.00","20,701",
"111/06/27","44,546,504","5,564,380,698","119.50","128.00","119.50","128.00","+11.50","23,210",
"111/06/28","42,770,722","5,379,030,640","126.50","130.00","122.00","128.00"," 0.00","21,789",
"111/06/29","37,659,504","4,609,381,089","125.50","127.50","119.50","120.00","-8.00","17,651",
"111/06/30","32,500,152","3,852,362,730","118.00","121.00","115.00","119.00","-1.00","15,184",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

