"108年05月 2634 漢翔             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/05/02","1,213,245","38,172,531","31.45","31.60","31.35","31.55","+0.20","672",
"108/05/03","731,041","23,183,198","31.55","31.80","31.55","31.75","+0.20","497",
"108/05/06","1,086,063","34,423,650","31.70","31.95","31.50","31.55","-0.20","615",
"108/05/07","709,769","22,457,283","31.60","31.70","31.60","31.60","+0.05","314",
"108/05/08","1,362,407","42,561,085","31.50","31.55","31.05","31.10","-0.50","759",
"108/05/09","1,695,986","52,197,858","31.20","31.20","30.50","30.65","-0.45","950",
"108/05/10","1,582,273","48,279,051","30.65","30.95","30.20","30.50","-0.15","872",
"108/05/13","555,744","17,016,109","30.65","30.80","30.50","30.55","+0.05","419",
"108/05/14","1,959,975","59,349,835","30.60","30.60","30.05","30.35","-0.20","1,031",
"108/05/15","910,248","27,775,694","30.40","30.70","30.40","30.60","+0.25","398",
"108/05/16","626,892","19,354,502","30.65","31.05","30.60","30.95","+0.35","418",
"108/05/17","1,519,584","47,692,368","31.10","31.60","31.10","31.55","+0.60","963",
"108/05/20","743,400","23,495,466","31.75","31.80","31.50","31.50","-0.05","467",
"108/05/21","501,200","15,759,250","31.60","31.60","31.10","31.55","+0.05","322",
"108/05/22","1,030,755","32,635,305","31.75","31.75","31.50","31.75","+0.20","443",
"108/05/23","704,046","22,224,257","31.65","31.65","31.50","31.60","-0.15","404",
"108/05/24","751,748","23,691,935","31.60","31.65","31.35","31.50","-0.10","415",
"108/05/27","1,848,289","58,516,437","31.60","31.90","31.40","31.80","+0.30","1,005",
"108/05/28","1,297,703","41,270,103","31.90","31.95","31.65","31.75","-0.05","879",
"108/05/29","1,560,221","49,798,335","31.75","32.05","31.65","31.90","+0.15","960",
"108/05/30","4,148,644","134,606,040","32.00","32.65","31.95","32.55","+0.65","1,848",
"108/05/31","3,458,960","113,025,090","33.00","33.05","32.20","32.45","-0.10","1,742",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

