"107年11月 2867 三商壽           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/01","1,849,259","25,188,039","13.65","13.70","13.55","13.65","+0.10","666",
"107/11/02","1,796,476","24,475,560","13.75","13.75","13.55","13.65"," 0.00","628",
"107/11/05","636,126","8,651,328","13.65","13.65","13.55","13.65"," 0.00","298",
"107/11/06","736,517","10,073,679","13.65","13.75","13.60","13.70","+0.05","264",
"107/11/07","1,442,327","19,963,638","13.70","13.90","13.70","13.90","+0.20","671",
"107/11/08","1,431,993","20,088,385","14.00","14.05","14.00","14.05","+0.15","562",
"107/11/09","1,260,832","17,477,930","13.95","13.95","13.80","13.85","-0.20","387",
"107/11/12","1,613,053","22,234,332","13.80","13.90","13.70","13.80","-0.05","655",
"107/11/13","2,975,608","40,503,705","13.70","13.70","13.55","13.65","-0.15","783",
"107/11/14","1,271,912","17,411,027","13.65","13.80","13.60","13.80","+0.15","439",
"107/11/15","2,074,287","28,237,725","13.75","13.80","13.55","13.65","-0.15","783",
"107/11/16","1,024,881","13,945,966","13.65","13.70","13.55","13.65"," 0.00","447",
"107/11/19","1,514,087","20,539,384","13.65","13.65","13.55","13.55","-0.10","461",
"107/11/20","1,226,601","16,537,209","13.55","13.55","13.45","13.45","-0.10","647",
"107/11/21","2,255,535","30,139,761","13.40","13.40","13.30","13.40","-0.05","836",
"107/11/22","1,179,761","15,765,493","13.40","13.40","13.35","13.35","-0.05","510",
"107/11/23","2,331,881","30,916,558","13.35","13.35","13.20","13.20","-0.15","730",
"107/11/26","1,889,753","25,114,696","13.20","13.40","13.20","13.30","+0.10","632",
"107/11/27","2,373,732","31,651,159","13.30","13.45","13.20","13.35","+0.05","650",
"107/11/28","3,188,722","42,319,074","13.30","13.35","13.20","13.35"," 0.00","950",
"107/11/29","2,686,609","35,661,447","13.40","13.40","13.20","13.25","-0.10","767",
"107/11/30","4,305,881","56,798,411","13.30","13.30","13.10","13.10","-0.15","1,296",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

