"110年12月 2881 富邦金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/12/01","16,569,331","1,222,578,455","73.10","74.50","73.00","74.10","+1.00","8,771",
"110/12/02","14,608,608","1,077,267,074","73.60","74.10","73.40","73.70","-0.40","8,516",
"110/12/03","18,528,622","1,372,726,100","74.10","74.60","73.90","73.90","+0.20","7,905",
"110/12/06","16,796,794","1,241,353,933","73.90","74.20","73.40","74.10","+0.20","7,685",
"110/12/07","22,528,601","1,681,395,747","74.30","75.30","73.90","75.30","+1.20","9,479",
"110/12/08","24,996,561","1,887,335,256","75.30","76.00","75.00","76.00","+0.70","13,161",
"110/12/09","15,575,405","1,181,054,038","75.60","76.20","75.50","76.00"," 0.00","8,854",
"110/12/10","14,330,192","1,089,598,638","76.10","76.40","75.80","75.90","-0.10","7,451",
"110/12/13","20,345,980","1,548,530,601","76.50","76.90","75.50","75.70","-0.20","12,323",
"110/12/14","15,330,803","1,149,166,256","75.30","75.40","74.80","74.90","-0.80","9,187",
"110/12/15","14,251,165","1,063,646,075","74.70","74.90","74.40","74.60","-0.30","8,605",
"110/12/16","11,650,531","870,434,047","74.70","75.00","74.50","74.90","+0.30","5,429",
"110/12/17","94,657,439","7,043,586,364","74.90","75.20","74.30","74.30","-0.60","8,935",
"110/12/20","17,531,043","1,301,967,218","74.40","74.90","74.00","74.10","-0.20","10,477",
"110/12/21","12,868,303","962,743,308","74.20","75.10","74.20","74.80","+0.70","6,321",
"110/12/22","11,956,795","891,235,095","75.00","75.00","74.40","74.40","-0.40","8,428",
"110/12/23","9,255,224","691,203,705","74.50","75.00","74.40","74.80","+0.40","4,519",
"110/12/24","12,164,773","915,436,696","75.00","75.70","74.80","75.20","+0.40","5,521",
"110/12/27","9,593,109","723,042,966","75.50","75.60","75.20","75.20"," 0.00","6,408",
"110/12/28","17,437,907","1,319,501,033","75.50","75.90","75.20","75.90","+0.70","7,433",
"110/12/29","19,964,111","1,523,993,593","76.20","76.60","76.00","76.60","+0.70","10,491",
"110/12/30","13,553,094","1,035,821,503","76.70","76.90","76.20","76.30","-0.30","9,183",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

