"110年04月 2883 開發金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/04/01","51,333,650","538,960,593","10.55","10.60","10.45","10.50"," 0.00","10,782",
"110/04/06","46,607,536","488,958,575","10.55","10.60","10.45","10.45","-0.05","10,905",
"110/04/07","44,413,530","462,251,247","10.45","10.50","10.35","10.45"," 0.00","10,213",
"110/04/08","38,976,841","405,749,274","10.40","10.45","10.35","10.40","-0.05","9,736",
"110/04/09","49,813,011","516,177,001","10.40","10.45","10.30","10.40"," 0.00","10,282",
"110/04/12","236,965,290","2,606,453,653","10.70","11.25","10.65","11.15","+0.75","36,670",
"110/04/13","130,831,587","1,461,416,035","11.25","11.35","11.05","11.05","-0.10","23,179",
"110/04/14","121,081,744","1,334,957,878","11.10","11.15","10.90","11.05"," 0.00","17,727",
"110/04/15","105,516,075","1,181,368,160","11.10","11.30","11.10","11.25","+0.20","16,898",
"110/04/16","96,051,431","1,078,880,486","11.25","11.30","11.15","11.25"," 0.00","12,086",
"110/04/19","168,564,770","1,965,494,157","11.35","11.85","11.30","11.80","+0.55","26,898",
"110/04/20","110,399,449","1,303,346,146","11.95","12.00","11.65","11.80"," 0.00","19,158",
"110/04/21","83,655,860","978,161,242","11.70","11.80","11.60","11.75","-0.05","15,243",
"110/04/22","263,628,182","3,164,641,608","11.80","12.30","11.70","11.85","+0.10","32,403",
"110/04/23","184,136,175","2,232,587,465","11.95","12.30","11.90","12.30","+0.45","25,731",
"110/04/26","434,720,791","5,736,160,687","12.60","13.50","12.60","13.50","+1.20","67,276",
"110/04/27","239,149,097","3,195,009,998","13.40","13.45","13.20","13.45","-0.05","44,612",
"110/04/28","208,722,945","2,752,796,492","13.45","13.45","13.05","13.15","-0.30","41,388",
"110/04/29","175,539,904","2,290,642,923","13.15","13.25","12.85","13.05","-0.10","31,249",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

