"111年12月 2884 玉山金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/12/01","25,120,004","620,363,062","24.90","25.00","24.45","24.60","-0.20","11,488",
"111/12/02","31,545,079","765,850,530","24.45","24.55","24.10","24.15","-0.45","13,989",
"111/12/05","16,361,336","398,534,287","24.15","24.50","24.15","24.25","+0.10","7,665",
"111/12/06","18,234,677","440,878,996","24.25","24.30","24.05","24.20","-0.05","8,302",
"111/12/07","34,359,263","837,793,355","24.20","24.50","24.05","24.40","+0.20","7,884",
"111/12/08","26,161,792","640,592,938","24.50","24.70","24.20","24.65","+0.25","7,335",
"111/12/09","12,571,629","310,131,073","24.75","24.75","24.50","24.65"," 0.00","5,299",
"111/12/12","17,259,335","422,798,498","24.65","24.65","24.30","24.55","-0.10","8,581",
"111/12/13","31,778,353","771,676,933","24.55","24.65","24.10","24.20","-0.35","11,787",
"111/12/14","17,145,538","421,604,931","24.50","24.65","24.35","24.65","+0.45","5,205",
"111/12/15","12,826,628","314,498,180","24.65","24.65","24.35","24.60","-0.05","5,770",
"111/12/16","23,309,255","566,161,807","24.25","24.50","24.15","24.25","-0.35","8,211",
"111/12/19","16,299,711","393,357,893","24.05","24.30","24.05","24.30","+0.05","7,177",
"111/12/20","28,378,499","681,453,161","24.10","24.30","23.80","24.00","-0.30","13,840",
"111/12/21","9,191,162","221,073,371","24.00","24.15","23.95","24.10","+0.10","4,383",
"111/12/22","9,032,214","219,079,079","24.20","24.35","24.10","24.35","+0.25","3,539",
"111/12/23","10,271,872","247,392,346","24.05","24.15","24.00","24.10","-0.25","4,790",
"111/12/26","5,432,704","131,368,778","24.15","24.25","24.10","24.15","+0.05","3,753",
"111/12/27","5,777,781","140,307,300","24.20","24.35","24.15","24.30","+0.15","2,781",
"111/12/28","9,244,697","222,808,687","24.20","24.20","24.05","24.05","-0.25","5,261",
"111/12/29","15,310,711","367,105,360","24.00","24.20","23.85","24.10","+0.05","6,966",
"111/12/30","10,130,461","244,264,596","24.20","24.20","24.05","24.05","-0.05","3,179",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

