"108年04月 2885 元大金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","12,046,170","211,112,403","17.50","17.60","17.45","17.55"," 0.00","1,617",
"108/04/02","10,096,637","177,405,057","17.60","17.65","17.50","17.60","+0.05","2,248",
"108/04/03","22,418,827","394,338,526","17.60","17.70","17.40","17.45","-0.15","4,612",
"108/04/08","16,395,507","289,365,702","17.50","17.75","17.45","17.65","+0.20","3,188",
"108/04/09","18,882,749","335,251,757","17.65","17.80","17.65","17.80","+0.15","2,640",
"108/04/10","23,456,107","413,906,881","17.65","17.75","17.55","17.65","-0.15","3,500",
"108/04/11","17,239,170","306,658,070","17.70","17.90","17.65","17.75","+0.10","2,631",
"108/04/12","7,057,800","125,055,215","17.65","17.75","17.60","17.75"," 0.00","1,582",
"108/04/15","8,926,369","158,453,446","17.75","17.80","17.70","17.75"," 0.00","1,553",
"108/04/16","13,643,464","243,227,152","17.75","17.90","17.75","17.90","+0.15","2,598",
"108/04/17","8,864,294","158,317,162","17.90","17.90","17.80","17.90"," 0.00","2,239",
"108/04/18","15,969,126","284,667,445","17.80","17.90","17.75","17.85","-0.05","1,610",
"108/04/19","6,092,120","108,617,298","17.90","17.90","17.75","17.75","-0.10","1,540",
"108/04/22","7,445,467","131,863,339","17.80","17.85","17.60","17.70","-0.05","1,223",
"108/04/23","7,050,289","125,538,883","17.75","17.85","17.60","17.85","+0.15","1,536",
"108/04/24","9,001,273","160,782,341","17.85","17.90","17.80","17.90","+0.05","1,895",
"108/04/25","10,456,109","186,155,691","17.80","17.90","17.70","17.80","-0.10","2,545",
"108/04/26","10,079,889","179,403,299","17.80","17.85","17.70","17.85","+0.05","3,411",
"108/04/29","13,967,338","248,999,515","17.80","17.95","17.70","17.80","-0.05","1,992",
"108/04/30","12,871,327","230,096,771","17.80","17.95","17.80","17.90","+0.10","2,268",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

