"112年05月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/05/02","8,545,971","290,660,083","34.00","34.10","33.90","34.10","+0.05","5,408",
"112/05/03","7,606,458","259,507,166","34.10","34.20","33.95","34.15","+0.05","4,643",
"112/05/04","10,417,736","357,388,030","34.10","34.50","34.05","34.30","+0.15","4,432",
"112/05/05","6,349,720","217,371,828","34.40","34.50","34.15","34.25","-0.05","3,807",
"112/05/08","8,493,215","291,437,810","34.30","34.45","34.20","34.30","+0.05","4,970",
"112/05/09","15,241,763","525,193,531","34.45","34.55","34.35","34.50","+0.20","5,763",
"112/05/10","12,669,016","439,387,678","34.55","34.80","34.55","34.80","+0.30","5,788",
"112/05/11","9,702,169","337,424,783","34.85","35.05","34.55","34.80"," 0.00","4,982",
"112/05/12","12,520,574","430,517,335","34.70","34.75","34.25","34.30","-0.50","6,643",
"112/05/15","11,435,697","394,160,135","34.30","34.65","34.20","34.50","+0.20","5,310",
"112/05/16","18,938,593","662,362,318","34.75","35.20","34.70","35.15","+0.65","8,951",
"112/05/17","23,241,501","826,211,953","35.10","35.80","35.05","35.60","+0.45","12,547",
"112/05/18","20,911,677","749,443,448","35.50","36.00","35.50","35.95","+0.35","9,570",
"112/05/19","23,871,784","859,830,896","35.95","36.25","35.75","36.00","+0.05","10,644",
"112/05/22","23,564,363","849,590,306","36.00","36.20","35.90","36.20","+0.20","12,325",
"112/05/23","21,118,680","761,422,530","36.20","36.20","35.80","36.20"," 0.00","9,564",
"112/05/24","21,632,873","772,675,951","35.90","35.95","35.60","35.90","-0.30","13,234",
"112/05/25","25,563,218","913,380,731","35.85","36.20","35.35","36.20","+0.30","10,101",
"112/05/26","24,802,240","889,229,724","35.70","36.15","35.45","36.15","-0.05","9,961",
"112/05/29","19,794,060","713,607,979","35.90","36.20","35.80","36.20","+0.05","8,185",
"112/05/30","22,953,178","829,543,131","36.20","36.30","36.00","36.20"," 0.00","8,399",
"112/05/31","73,167,689","2,621,538,919","36.15","36.20","35.80","35.80","-0.40","8,747",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

