"112年04月 2887 台新金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/04/06","14,438,267","239,764,433","16.60","16.65","16.50","16.65","+0.05","6,181",
"112/04/07","7,468,625","124,214,829","16.65","16.70","16.60","16.65"," 0.00","3,808",
"112/04/10","6,876,186","114,508,129","16.65","16.70","16.60","16.70","+0.05","3,547",
"112/04/11","8,345,785","139,940,263","16.70","16.80","16.65","16.80","+0.10","4,136",
"112/04/12","13,689,932","231,155,179","16.80","16.95","16.75","16.95","+0.15","4,362",
"112/04/13","16,381,624","278,851,181","16.90","17.10","16.85","17.10","+0.15","6,132",
"112/04/14","11,487,599","196,558,685","17.10","17.15","17.05","17.15","+0.05","4,319",
"112/04/17","11,057,495","189,696,863","17.10","17.25","17.05","17.20","+0.05","5,021",
"112/04/18","12,544,383","215,848,710","17.20","17.25","17.10","17.25","+0.05","3,931",
"112/04/19","10,679,622","183,744,631","17.25","17.35","17.05","17.15","-0.10","4,809",
"112/04/20","10,620,678","180,380,015","17.00","17.10","16.90","17.05","-0.10","4,846",
"112/04/21","10,027,678","171,294,945","17.00","17.15","16.95","17.15","+0.10","3,492",
"112/04/24","5,972,620","102,422,606","17.00","17.20","17.00","17.20","+0.05","2,891",
"112/04/25","12,077,432","207,274,797","17.25","17.30","17.05","17.10","-0.10","4,180",
"112/04/26","14,987,564","257,501,936","17.05","17.25","17.05","17.25","+0.15","4,999",
"112/04/27","7,217,569","124,057,058","17.20","17.25","17.15","17.20","-0.05","3,399",
"112/04/28","15,355,803","264,901,077","17.25","17.30","17.15","17.30","+0.10","3,950",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

