"111年04月 2888 新光金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/04/01","278,320,577","3,118,085,247","10.85","11.40","10.80","11.25","+0.45","42,523",
"111/04/06","132,751,982","1,490,536,658","11.15","11.35","11.10","11.30","+0.05","19,484",
"111/04/07","186,519,839","2,078,602,884","11.20","11.40","10.90","11.00","-0.30","26,216",
"111/04/08","75,736,056","834,534,813","11.10","11.20","11.00","11.15","+0.15","10,770",
"111/04/11","117,443,129","1,296,850,506","11.10","11.30","10.90","10.95","-0.20","16,066",
"111/04/12","65,098,341","704,983,171","10.90","10.95","10.75","10.80","-0.15","11,833",
"111/04/13","59,728,097","651,283,932","10.85","11.00","10.80","10.90","+0.10","11,048",
"111/04/14","75,527,923","807,907,847","10.95","10.95","10.60","10.65","-0.25","13,529",
"111/04/15","77,236,019","796,053,403","10.55","10.65","10.50","10.55","-0.10","10,595",
"111/04/18","65,639,889","679,696,715","10.50","10.50","10.25","10.30","-0.25","13,922",
"111/04/19","58,525,670","609,899,990","10.45","10.60","10.30","10.35","+0.05","18,032",
"111/04/20","359,920,386","3,626,822,455","10.00","10.20","9.96","10.15","-0.20","41,566",
"111/04/21","143,681,844","1,427,847,989","10.10","10.10","10.00","10.05","-0.10","26,818",
"111/04/22","151,043,631","1,512,937,164","9.99","10.15","9.96","10.10","+0.05","15,832",
"111/04/25","96,852,992","964,201,484","10.00","10.05","9.98","10.00","-0.10","12,702",
"111/04/26","86,045,399","860,712,459","10.05","10.10","9.98","9.98","-0.02","13,720",
"111/04/27","143,694,686","1,406,923,015","9.83","9.86","9.71","9.77","-0.21","29,605",
"111/04/28","132,835,088","1,290,674,014","9.75","9.77","9.66","9.76","-0.01","21,305",
"111/04/29","87,138,400","857,687,737","9.83","9.94","9.81","9.83","+0.07","12,614",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

