"112年05月 2891 中信金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/05/02","33,442,558","762,386,873","22.80","22.90","22.70","22.90","+0.30","10,939",
"112/05/03","26,517,570","607,908,938","22.85","23.00","22.75","22.95","+0.05","8,231",
"112/05/04","21,601,170","497,938,797","22.95","23.15","22.85","23.10","+0.15","7,159",
"112/05/05","18,318,014","422,290,150","23.10","23.15","23.00","23.05","-0.05","5,258",
"112/05/08","28,739,880","668,053,599","23.15","23.35","23.10","23.35","+0.30","8,622",
"112/05/09","16,329,568","380,202,042","23.35","23.40","23.20","23.30","-0.05","6,528",
"112/05/10","18,457,324","429,461,259","23.35","23.35","23.15","23.30"," 0.00","6,368",
"112/05/11","20,804,934","484,418,311","23.30","23.35","23.20","23.30"," 0.00","5,782",
"112/05/12","22,013,671","510,427,949","23.35","23.35","23.10","23.10","-0.20","8,477",
"112/05/15","21,469,110","498,671,740","23.10","23.40","23.00","23.35","+0.25","5,869",
"112/05/16","33,972,882","797,846,720","23.50","23.55","23.40","23.55","+0.20","9,924",
"112/05/17","60,542,053","1,442,201,007","23.50","24.00","23.50","23.80","+0.25","21,034",
"112/05/18","42,768,525","1,028,749,218","23.90","24.15","23.85","24.10","+0.30","11,503",
"112/05/19","39,270,250","953,473,542","24.20","24.40","24.15","24.40","+0.30","12,115",
"112/05/22","35,423,335","870,232,226","24.40","24.70","24.35","24.55","+0.15","12,774",
"112/05/23","30,539,165","750,464,360","24.55","24.70","24.35","24.60","+0.05","9,692",
"112/05/24","22,336,487","545,174,530","24.50","24.55","24.25","24.50","-0.10","11,345",
"112/05/25","22,699,695","548,307,231","24.30","24.35","24.05","24.10","-0.40","8,780",
"112/05/26","24,686,560","593,935,874","24.10","24.25","23.85","24.10"," 0.00","8,045",
"112/05/29","16,798,797","409,002,873","24.15","24.45","24.15","24.40","+0.30","5,968",
"112/05/30","27,222,186","667,736,096","24.55","24.60","24.40","24.50","+0.10","9,787",
"112/05/31","72,549,839","1,763,888,566","24.50","24.55","24.25","24.30","-0.20","7,927",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

