"109年11月 3008 大立光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","315,344","950,254,360","3,025.00","3,030.00","2,995.00","3,025.00"," 0.00","1,615",
"109/11/03","827,938","2,569,014,975","3,035.00","3,150.00","3,035.00","3,105.00","+80.00","2,095",
"109/11/04","690,927","2,166,189,520","3,150.00","3,165.00","3,100.00","3,120.00","+15.00","1,887",
"109/11/05","936,565","2,970,305,440","3,135.00","3,200.00","3,130.00","3,200.00","+80.00","2,225",
"109/11/06","1,303,894","4,067,541,200","3,165.00","3,195.00","3,065.00","3,145.00","-55.00","4,302",
"109/11/09","947,378","3,084,142,535","3,240.00","3,280.00","3,230.00","3,265.00","+120.00","3,660",
"109/11/10","1,049,636","3,457,178,630","3,275.00","3,340.00","3,225.00","3,300.00","+35.00","3,419",
"109/11/11","521,534","1,721,569,880","3,320.00","3,330.00","3,275.00","3,310.00","+10.00","1,808",
"109/11/12","813,158","2,690,996,345","3,310.00","3,350.00","3,275.00","3,330.00","+20.00","2,325",
"109/11/13","829,031","2,769,959,275","3,250.00","3,385.00","3,245.00","3,360.00","+30.00","2,534",
"109/11/16","622,734","2,090,929,665","3,395.00","3,415.00","3,320.00","3,320.00","-40.00","3,433",
"109/11/17","555,431","1,856,861,510","3,370.00","3,370.00","3,320.00","3,330.00","+10.00","1,979",
"109/11/18","2,455,181","8,556,230,705","3,370.00","3,550.00","3,360.00","3,550.00","+220.00","6,169",
"109/11/19","1,090,835","3,882,031,065","3,560.00","3,615.00","3,505.00","3,545.00","-5.00","4,071",
"109/11/20","991,719","3,445,523,700","3,530.00","3,545.00","3,445.00","3,460.00","-85.00","5,004",
"109/11/23","1,053,331","3,613,653,160","3,430.00","3,500.00","3,400.00","3,400.00","-60.00","4,605",
"109/11/24","842,762","2,866,420,110","3,455.00","3,480.00","3,355.00","3,370.00","-30.00","5,133",
"109/11/25","907,741","3,032,039,475","3,390.00","3,410.00","3,305.00","3,310.00","-60.00","5,107",
"109/11/26","598,132","1,992,881,190","3,340.00","3,355.00","3,315.00","3,325.00","+15.00","2,271",
"109/11/27","691,654","2,305,541,805","3,345.00","3,355.00","3,315.00","3,330.00","+5.00","2,639",
"109/11/30","1,322,176","4,320,971,218","3,350.00","3,350.00","3,225.00","3,225.00","-105.00","7,077",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

