"112年07月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/07/03","6,871,987","2,906,879,119","425.00","427.00","419.00","425.00","-1.50","9,164",
"112/07/04","6,502,733","2,834,577,963","430.00","441.50","428.50","440.50","+15.50","6,248",
"112/07/05","5,079,156","2,234,672,761","442.50","445.00","436.00","438.50","-2.00","4,483",
"112/07/06","7,133,084","3,101,709,498","437.50","438.50","431.00","435.50","-3.00","6,168",
"112/07/07","5,076,728","2,198,218,018","431.50","438.00","428.50","435.50"," 0.00","5,028",
"112/07/10","7,332,969","3,178,882,738","439.00","439.50","430.50","430.50","-5.00","6,732",
"112/07/11","11,406,848","4,528,184,416","394.50","404.00","394.50","397.00","X0.00","11,658",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

