"109年12月 3034 聯詠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/12/01","3,654,886","1,109,525,278","304.00","307.00","301.50","303.00","+4.00","2,436",
"109/12/02","6,753,615","2,081,878,678","304.00","312.00","302.50","308.00","+5.00","4,931",
"109/12/03","6,150,285","1,915,013,406","308.00","314.50","306.00","312.50","+4.50","4,126",
"109/12/04","4,848,589","1,520,063,136","315.00","317.00","310.50","315.00","+2.50","3,314",
"109/12/07","8,352,701","2,559,505,902","318.00","319.00","301.00","306.00","-9.00","6,376",
"109/12/08","7,832,812","2,455,739,982","306.50","318.00","306.00","316.50","+10.50","5,705",
"109/12/09","6,845,884","2,202,368,876","317.00","327.50","316.00","321.50","+5.00","5,375",
"109/12/10","4,272,292","1,365,026,673","324.00","324.50","315.00","317.50","-4.00","3,388",
"109/12/11","5,724,221","1,800,490,683","320.50","323.00","308.00","315.50","-2.00","3,984",
"109/12/14","4,470,595","1,424,770,027","318.00","322.00","315.50","318.00","+2.50","3,108",
"109/12/15","4,220,382","1,320,130,799","318.00","320.00","309.00","312.50","-5.50","3,393",
"109/12/16","4,344,200","1,374,250,830","314.50","321.00","314.00","314.00","+1.50","3,091",
"109/12/17","7,933,440","2,561,036,268","318.00","328.00","315.00","323.00","+9.00","5,857",
"109/12/18","7,251,309","2,342,405,506","326.00","328.00","317.00","323.00"," 0.00","3,398",
"109/12/21","6,655,093","2,166,022,958","322.00","329.50","319.00","324.50","+1.50","4,064",
"109/12/22","5,567,541","1,795,738,648","326.00","331.00","318.00","318.00","-6.50","3,825",
"109/12/23","6,261,459","2,036,731,926","320.00","330.00","318.50","325.00","+7.00","3,737",
"109/12/24","7,702,293","2,573,254,030","330.00","338.50","329.00","333.00","+8.00","5,028",
"109/12/25","10,957,730","3,845,932,410","338.00","362.50","335.00","351.50","+18.50","8,731",
"109/12/28","4,920,303","1,710,369,024","351.50","356.50","343.50","348.50","-3.00","4,514",
"109/12/29","3,261,322","1,150,311,431","350.00","357.50","349.00","352.50","+4.00","2,720",
"109/12/30","2,547,643","901,117,318","354.00","357.00","351.00","357.00","+4.50","2,045",
"109/12/31","6,491,539","2,397,565,424","370.00","375.00","363.50","369.00","+12.00","5,266",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

