"108年10月 3035 智原             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/10/01","2,937,036","170,680,980","58.50","59.00","57.50","58.30","+0.50","2,094",
"108/10/02","2,743,351","159,246,531","57.80","58.70","57.50","58.50","+0.20","1,462",
"108/10/03","3,862,292","222,131,314","58.00","58.30","57.00","57.50","-1.00","2,825",
"108/10/04","9,414,519","553,497,499","57.80","59.70","57.80","58.20","+0.70","6,120",
"108/10/07","3,542,629","208,737,920","58.80","59.40","58.40","58.70","+0.50","2,310",
"108/10/08","3,532,955","206,467,682","59.50","59.50","57.70","58.10","-0.60","2,192",
"108/10/09","9,062,725","503,916,702","57.70","57.80","54.00","55.20","-2.90","6,196",
"108/10/14","2,563,192","143,689,007","56.00","56.70","55.70","55.80","+0.60","1,926",
"108/10/15","1,925,362","107,577,951","55.80","56.40","55.50","55.70","-0.10","1,349",
"108/10/16","1,945,565","108,321,080","56.10","56.50","55.10","55.20","-0.50","1,405",
"108/10/17","1,477,153","82,575,768","55.60","56.20","55.20","56.20","+1.00","1,091",
"108/10/18","3,786,658","212,303,082","56.90","57.10","55.60","55.60","-0.60","1,707",
"108/10/21","2,583,056","145,902,366","56.00","56.80","55.90","56.70","+1.10","1,814",
"108/10/22","2,322,481","131,933,167","56.70","57.10","56.30","56.70"," 0.00","1,471",
"108/10/23","1,616,402","91,920,149","56.60","57.30","56.50","56.80","+0.10","1,165",
"108/10/24","7,013,475","410,714,225","57.20","59.30","56.80","59.00","+2.20","4,612",
"108/10/25","4,211,751","247,343,028","58.50","59.50","58.10","58.50","-0.50","2,797",
"108/10/28","10,338,472","624,817,874","59.00","61.30","58.90","60.60","+2.10","6,884",
"108/10/29","9,459,452","569,490,420","61.50","62.10","58.30","60.00","-0.60","6,097",
"108/10/30","6,506,764","391,165,697","61.00","61.50","59.40","59.50","-0.50","4,231",
"108/10/31","4,069,917","238,937,570","59.90","59.90","58.00","58.00","-1.50","2,813",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

