"112年02月 3037 欣興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/02/01","35,751,997","5,032,400,874","139.00","142.50","138.00","141.50","+5.00","20,883",
"112/02/02","40,037,391","5,720,570,224","144.00","145.00","140.50","143.50","+2.00","20,189",
"112/02/03","32,488,040","4,537,502,077","143.00","143.00","136.50","137.00","-6.50","21,030",
"112/02/06","32,183,965","4,196,921,692","132.50","133.00","129.00","129.00","-8.00","22,482",
"112/02/07","21,779,279","2,830,720,283","128.50","131.50","128.50","130.00","+1.00","12,706",
"112/02/08","18,094,327","2,370,946,655","131.50","132.00","130.00","131.50","+1.50","11,829",
"112/02/09","16,136,503","2,131,653,609","130.50","133.00","130.00","132.50","+1.00","9,404",
"112/02/10","17,324,690","2,255,123,470","132.00","132.50","129.00","129.00","-3.50","11,399",
"112/02/13","9,258,396","1,193,389,097","129.00","130.50","128.00","128.50","-0.50","6,524",
"112/02/14","15,927,555","2,095,339,825","130.50","133.00","130.00","131.50","+3.00","9,944",
"112/02/15","28,379,119","3,814,977,172","131.00","137.50","130.50","137.50","+6.00","18,268",
"112/02/16","34,635,533","4,785,113,570","139.50","140.50","135.50","138.50","+1.00","21,627",
"112/02/17","19,483,745","2,654,980,784","136.50","138.00","135.00","136.00","-2.50","11,572",
"112/02/20","11,724,345","1,606,472,445","137.00","138.50","136.00","136.50","+0.50","7,882",
"112/02/21","14,877,279","2,035,759,673","137.00","138.50","135.00","137.50","+1.00","9,987",
"112/02/22","27,076,853","3,636,705,253","135.00","136.00","133.50","133.50","-4.00","18,518",
"112/02/23","25,471,038","3,413,583,017","133.00","135.50","133.00","134.00","+0.50","15,533",
"112/02/24","50,247,832","6,500,861,610","133.00","133.50","128.00","128.00","-6.00","36,348",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

