"108年12月 3049 和鑫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/12/02","8,773,068","115,646,178","13.55","13.55","13.00","13.05","-0.45","2,486",
"108/12/03","3,464,655","45,430,482","13.00","13.20","12.95","13.10","+0.05","1,087",
"108/12/04","10,600,268","142,650,081","13.25","13.60","13.25","13.50","+0.40","2,978",
"108/12/05","8,324,197","113,320,459","13.55","13.70","13.50","13.65","+0.15","2,362",
"108/12/06","4,315,285","58,747,052","13.65","13.70","13.55","13.60","-0.05","1,173",
"108/12/09","7,123,160","98,365,826","13.75","13.95","13.70","13.70","+0.10","1,968",
"108/12/10","13,807,698","192,374,969","13.75","14.10","13.70","13.85","+0.15","3,084",
"108/12/11","6,024,498","83,681,038","13.95","14.00","13.80","13.85"," 0.00","1,562",
"108/12/12","5,362,454","73,933,934","13.95","13.95","13.70","13.70","-0.15","1,449",
"108/12/13","5,422,983","74,700,705","13.80","13.85","13.70","13.70"," 0.00","1,230",
"108/12/16","17,138,351","241,159,964","13.85","14.20","13.80","14.05","+0.35","4,434",
"108/12/17","15,629,501","221,773,707","14.10","14.35","14.00","14.20","+0.15","4,318",
"108/12/18","7,388,128","103,718,260","14.10","14.20","13.95","13.95","-0.25","2,163",
"108/12/19","4,307,029","59,818,290","13.95","14.00","13.80","13.85","-0.10","1,215",
"108/12/20","3,098,531","42,903,569","13.85","13.95","13.80","13.80","-0.05","945",
"108/12/23","6,287,846","85,884,215","13.80","13.85","13.55","13.55","-0.25","1,810",
"108/12/24","3,415,134","46,347,554","13.60","13.65","13.50","13.55"," 0.00","1,183",
"108/12/25","5,351,413","73,137,329","13.60","13.80","13.55","13.65","+0.10","1,354",
"108/12/26","4,658,577","63,169,428","13.70","13.70","13.50","13.55","-0.10","1,245",
"108/12/27","3,569,492","48,612,402","13.60","13.70","13.55","13.60","+0.05","939",
"108/12/30","2,909,907","39,625,379","13.70","13.70","13.55","13.60"," 0.00","784",
"108/12/31","11,285,585","155,186,546","13.65","13.90","13.55","13.60"," 0.00","2,659",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

