"10410る 3189 春河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/10/01","2,475,749","158,166,433","63.60","64.50","63.10","64.40","+1.40","1,711",
"104/10/02","1,597,450","101,907,079","64.70","64.70","63.30","63.80","-0.60","1,051",
"104/10/05","1,971,330","126,082,415","64.80","65.00","63.50","63.50","-0.30","1,234",
"104/10/06","2,327,100","148,267,100","63.80","64.70","63.00","63.00","-0.50","1,686",
"104/10/07","13,035,735","886,419,324","64.20","69.30","64.10","69.30","+6.30","6,815",
"104/10/08","6,167,284","423,367,891","70.00","70.60","67.40","67.40","-1.90","3,695",
"104/10/12","4,296,850","294,541,450","68.30","69.10","67.70","69.10","+1.70","2,466",
"104/10/13","2,423,158","167,328,031","69.80","69.80","68.50","69.20","+0.10","1,754",
"104/10/14","2,451,945","168,390,281","68.80","69.20","68.20","69.20"," 0.00","1,638",
"104/10/15","4,545,040","318,580,566","69.70","71.50","69.10","69.10","-0.10","3,174",
"104/10/16","4,346,160","305,647,014","70.50","71.40","68.70","71.40","+2.30","2,433",
"104/10/19","2,559,328","181,430,951","71.60","72.10","70.30","70.50","-0.90","1,691",
"104/10/20","1,794,609","126,434,689","70.90","71.10","70.00","70.50"," 0.00","1,372",
"104/10/21","2,206,393","155,472,904","71.20","71.40","70.00","70.00","-0.50","1,546",
"104/10/22","2,185,228","154,346,088","70.20","71.10","70.00","70.90","+0.90","1,434",
"104/10/23","3,070,633","219,651,689","72.60","72.70","71.00","71.00","+0.10","2,062",
"104/10/26","2,459,264","175,592,708","71.80","72.10","70.90","71.20","+0.20","1,645",
"104/10/27","4,800,853","337,362,663","71.80","72.20","69.30","69.50","-1.70","3,103",
"104/10/28","3,466,902","238,835,903","69.30","69.80","68.30","68.50","-1.00","2,264",
"104/10/29","2,851,152","194,269,136","69.00","69.20","67.50","67.60","-0.90","1,905",
"104/10/30","2,270,156","152,138,211","67.80","68.10","66.50","66.90","-0.70","1,594",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

