"111年05月 3189 景碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/05/03","10,803,587","1,864,619,373","170.00","175.00","169.50","175.00","+3.50","7,577",
"111/05/04","15,562,999","2,759,700,473","175.50","182.00","173.00","177.00","+2.00","11,616",
"111/05/05","15,562,721","2,848,244,223","184.50","186.00","179.50","181.00","+4.00","10,208",
"111/05/06","15,031,165","2,577,634,338","173.00","176.50","168.50","170.50","-10.50","24,964",
"111/05/09","9,707,781","1,648,254,208","170.50","172.50","166.50","166.50","-4.00","7,790",
"111/05/10","10,829,063","1,824,697,515","162.50","173.50","162.00","172.00","+5.50","10,275",
"111/05/11","7,450,697","1,261,229,453","171.00","171.50","167.00","168.00","-4.00","7,026",
"111/05/12","7,046,361","1,176,958,905","166.00","170.50","163.50","164.00","-4.00","4,945",
"111/05/13","9,230,527","1,575,924,330","168.50","173.00","167.50","172.50","+8.50","6,017",
"111/05/16","13,918,455","2,403,486,246","176.00","176.50","168.50","169.50","-3.00","17,251",
"111/05/17","12,575,001","2,164,560,040","171.00","175.50","168.50","174.00","+4.50","11,097",
"111/05/18","12,298,334","2,165,561,828","177.50","179.00","174.00","175.00","+1.00","9,675",
"111/05/19","6,333,440","1,084,501,877","170.00","174.00","168.50","173.50","-1.50","5,092",
"111/05/20","7,097,870","1,215,879,782","173.50","174.50","169.00","169.00","-4.50","13,565",
"111/05/23","7,400,691","1,276,632,532","171.50","174.50","170.50","171.50","+2.50","5,025",
"111/05/24","13,878,820","2,286,903,218","173.00","173.50","160.50","160.50","-11.00","14,576",
"111/05/25","20,867,784","3,349,739,452","160.50","166.00","156.00","164.50","+4.00","14,199",
"111/05/26","22,493,392","3,539,694,018","163.50","164.50","152.00","156.50","-8.00","16,917",
"111/05/27","22,378,863","3,628,188,516","161.50","166.00","158.00","160.50","+4.00","15,044",
"111/05/30","22,296,761","3,815,170,579","164.50","176.00","163.50","172.50","+12.00","14,395",
"111/05/31","13,130,931","2,263,804,695","172.50","175.00","170.50","175.00","+2.50","11,107",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

