"10409る 3356 案             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/09/01","172,112","13,527,069","77.50","80.10","77.00","78.80","+0.90","161",
"104/09/02","76,384","6,004,425","78.00","79.20","77.80","79.00","+0.20","87",
"104/09/03","228,170","18,510,203","80.00","81.80","79.50","81.50","+2.50","211",
"104/09/04","126,318","10,209,496","81.50","81.60","80.50","80.50","-1.00","137",
"104/09/07","94,729","7,671,622","80.50","81.40","80.00","81.00","+0.50","95",
"104/09/08","137,299","11,275,433","81.00","82.60","81.00","82.00","+1.00","136",
"104/09/09","218,555","18,298,731","84.50","84.50","83.10","83.90","+1.90","185",
"104/09/10","294,383","25,041,862","83.70","85.60","83.30","85.30","+1.40","232",
"104/09/11","281,397","24,254,953","85.30","86.70","85.30","86.70","+1.40","252",
"104/09/14","236,080","20,729,902","86.90","88.80","86.90","87.50","+0.80","232",
"104/09/15","118,325","10,339,966","88.10","88.10","87.00","87.30","-0.20","125",
"104/09/16","167,100","14,676,265","88.00","88.30","87.50","87.70","+0.40","155",
"104/09/17","206,622","18,233,331","88.50","88.80","87.70","88.30","+0.60","178",
"104/09/18","188,560","16,623,610","88.80","88.80","87.70","88.50","+0.20","189",
"104/09/21","271,845","24,053,126","88.30","89.20","87.60","88.70","+0.20","225",
"104/09/22","859,627","79,211,504","89.20","93.00","89.20","92.20","+3.50","337",
"104/09/23","656,490","59,807,334","92.00","92.20","90.90","90.90","-1.30","241",
"104/09/24","291,485","26,650,171","91.50","92.60","90.20","91.50","+0.60","268",
"104/09/25","178,767","16,255,012","91.50","91.50","90.50","90.80","-0.70","170",
"104/09/30","1,250,470","115,015,166","90.80","92.60","90.50","92.50","+1.70","813",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

