"112年03月 3481 群創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/03/01","73,689,144","1,076,241,881","14.70","14.85","14.40","14.65","-0.05","18,902",
"112/03/02","85,238,794","1,225,642,707","14.60","14.70","14.25","14.35","-0.30","18,620",
"112/03/03","206,631,833","3,092,049,595","14.75","15.30","14.60","15.05","+0.70","38,920",
"112/03/06","183,391,935","2,832,264,050","15.20","15.70","15.15","15.60","+0.55","36,339",
"112/03/07","113,998,504","1,737,924,965","15.35","15.45","15.05","15.15","-0.45","25,983",
"112/03/08","61,847,037","941,005,381","15.10","15.30","15.05","15.30","+0.15","14,404",
"112/03/09","129,802,503","1,928,835,112","15.40","15.40","14.65","14.65","-0.65","33,906",
"112/03/10","76,774,524","1,111,549,087","14.50","14.65","14.35","14.45","-0.20","17,265",
"112/03/13","59,821,793","861,139,489","14.30","14.60","14.10","14.55","+0.10","12,302",
"112/03/14","69,593,726","989,242,395","14.35","14.45","14.10","14.15","-0.40","16,635",
"112/03/15","47,610,852","677,252,171","14.35","14.50","14.05","14.05","-0.10","11,946",
"112/03/16","67,298,624","956,318,544","14.05","14.45","14.05","14.20","+0.15","12,884",
"112/03/17","147,469,950","2,145,295,490","14.25","14.85","14.10","14.55","+0.35","20,122",
"112/03/20","42,335,874","612,800,172","14.65","14.75","14.35","14.45","-0.10","9,055",
"112/03/21","78,033,182","1,157,352,693","14.80","15.00","14.70","14.70","+0.25","14,725",
"112/03/22","47,837,617","702,521,443","14.80","14.90","14.60","14.65","-0.05","10,373",
"112/03/23","88,301,478","1,266,416,994","14.50","14.70","14.20","14.25","-0.40","22,292",
"112/03/24","54,860,875","789,134,438","14.30","14.55","14.25","14.50","+0.25","14,355",
"112/03/27","35,954,393","522,087,508","14.60","14.75","14.35","14.40","-0.10","8,308",
"112/03/28","42,451,820","606,224,710","14.50","14.55","14.15","14.25","-0.15","14,078",
"112/03/29","37,764,445","546,831,343","14.35","14.60","14.35","14.55","+0.30","8,800",
"112/03/30","35,166,674","508,144,101","14.65","14.70","14.30","14.40","-0.15","7,289",
"112/03/31","32,701,282","474,273,229","14.50","14.60","14.40","14.50","+0.10","6,625",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

